Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-189.17142	142.95161	-39.012775	-536.24384	91.382355	-0.14576261	0.02849225	0.016680054	-0.20412384	4000	0.004244461	12637.81	0.0	-681.38574	1.3790402	-3.2782554e-10	3.5357069969177246
1	-196.47139	111.181076	-64.12484	-430.96594	98.7	-4.2117457	1.2430345	3.7469394	-5.4428315	8000	0.00061536505	12736.051	0.0	-939.51953	1.3813713	1.5199184e-09	6.587576866149902
2	-180.646	125.257614	23.964733	-478.98102	92.48837	-9.320128	0.124854885	-6.860548	-9.43295	12000	-0.001441795	12406.868	0.0	-572.02637	1.3821806	1.5795231e-09	9.600071907043457
3	-205.76888	115.965	-49.300774	-502.30338	92.976746	-12.6257715	0.17106141	-9.511171	-12.690726	16000	-0.0025168548	12933.328	0.0	-603.8213	1.3822107	1.4901161e-10	12.610936164855957
4	-152.27686	106.19924	23.45507	-554.9157	104.75676	-15.83516	0.07901905	-14.800308	-15.873688	20000	-0.0046460335	7115.277	0.0	-246.69678	1.3816857	-1.1920929e-09	15.650418043136597
5	-194.17345	103.65648	-10.650288	-470.0708	102.552635	-17.962034	0.07661411	-17.078028	-17.990398	24000	-0.0023196551	9629.807	0.0	-418.47363	1.3798263	2.0861626e-10	18.682445764541626
6	-159.67021	101.05343	28.86482	-513.2019	101.79487	-20.621725	0.17534178	-15.980548	-20.650356	28000	-0.0062604095	6961.4277	0.0	-304.2544	1.3778316	1.013279e-09	21.716038942337036
7	-137.04617	89.5467	-33.016994	-502.76376	92.95238	-22.96531	0.06777916	-21.572136	-22.982458	32000	-0.006928879	5212.4355	0.0	-188.34082	1.3741881	-3.2782554e-10	24.740290880203247
8	-159.43959	80.741974	-22.637022	-364.93396	106.64865	-24.85575	0.03794077	-24.06272	-24.867857	36000	-0.0063215336	4865.9375	0.0	-213.61523	1.3707999	-1.0728836e-09	27.782120943069458
9	-144.2604	87.371994	-23.835085	-366.63638	106.10811	-26.867186	0.037223917	-26.14731	-26.87858	40000	-0.004591579	4870.805	0.0	-201.4668	1.3672005	1.0430813e-09	30.852535009384155
10	-176.76453	95.962875	-57.191067	-455.36642	107.72973	-28.866533	0.034542605	-28.057837	-28.875685	44000	-0.0085838325	5829.2036	0.0	-260.85596	1.3611065	9.685754e-10	33.92751216888428
11	-165.4154	89.28681	-30.026917	-349.2795	104.78378	-31.14616	0.055830564	-30.115671	-31.156292	48000	-0.0057778205	5056.425	0.0	-240.98047	1.3556122	2.8759242e-09	37.01385307312012
12	-139.69022	72.347885	-34.2859	-312.51044	104.26316	-33.384468	0.006373709	-33.161324	-33.3897	52000	-0.0006000211	2936.8567	0.0	-128.82959	1.351111	6.705523e-10	40.06270503997803
13	-165.60005	103.12268	-34.746876	-385.0337	112.57143	-35.068344	0.046516027	-33.98686	-35.078636	56000	-0.004583001	5577.391	0.0	-204.85889	1.3489166	7.4505807e-10	43.1269588470459
14	-145.7096	80.80286	-38.236233	-319.8509	109.55556	-37.146023	0.2132587	-32.71014	-37.163998	60000	-0.0085359495	3252.403	0.0	-146.9585	1.3442601	1.6391277e-10	46.20525288581848
15	-141.70813	73.15777	-36.322224	-328.33987	115.20588	-38.97645	0.018676966	-38.557877	-38.9814	64000	-0.005027099	2560.715	0.0	-94.13916	1.3406721	-1.9073487e-09	49.328978061676025
