Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-255.1732	139.32756	-59.77071	-548.3096	87.954544	-0.082746305	0.03558344	0.05485645	-0.21296883	4000	0.028282136	25612.416	0.0	-1186.5234	1.34915	-1.1324883e-09	1.0073940753936768
1	-212.88191	116.42449	20.794092	-507.77164	95.07692	-3.5901518	0.9861859	2.6865351	-4.4534883	8000	0.006526023	15780.626	0.0	-845.26416	1.3597254	-8.9406965e-10	2.0632190704345703
2	-139.37044	74.184425	-21.620308	-363.18195	104.91892	-7.7423077	0.17861494	-5.174487	-7.8593397	12000	-0.009309299	6382.4097	0.0	-314.17798	1.354929	-2.6226044e-09	3.087559938430786
3	-135.01251	85.331314	-30.99398	-364.50803	113.35294	-10.081824	0.15233769	-7.3956947	-10.180072	16000	0.02332751	5445.847	0.0	-243.91138	1.2984431	2.667308e-09	4.110079050064087
4	-120.873566	98.840675	13.78182	-434.41418	122.71875	-12.181889	0.13967489	-9.416821	-12.265001	20000	0.047985807	5542.2607	0.0	-183.2102	1.2529213	-4.0382147e-09	5.188626050949097
5	-89.21248	61.562157	19.941408	-220.9339	123.34375	-14.066671	0.14782102	-11.551514	-14.127941	24000	0.011347361	2517.8635	0.0	-85.39209	1.2322714	2.682209e-10	6.242269992828369
6	-44.87513	36.556488	47.622997	-121.81703	128.5	-15.307533	0.43080193	-13.007136	-15.469989	28000	0.019908104	1092.3308	0.0	-5.9124756	1.2230948	-7.1525574e-10	7.70512318611145
7	-85.4973	83.97435	22.9163	-366.06302	211.66667	-15.283836	1.4211388	-8.048476	-15.882952	32000	0.0045954185	2466.8613	0.0	-51.861023	1.1408517	-8.7916857e-10	9.422483921051025
8	-148.43448	55.486767	-32.885635	-253.67914	407.55554	-16.428658	0.16281766	-15.708566	-16.561636	36000	0.025637932	2626.5234	0.0	-30.901794	1.0859098	-3.4272674e-10	11.665890216827393
9	-154.39412	45.60223	-96.39268	-233.0167	479.83334	-17.35412	0.0979105	-16.870441	-17.427498	40000	-0.019015273	1373.934	0.0	-3.3778076	1.0377822	4.768371e-10	13.77818512916565
10	-186.10474	100.35656	-111.43949	-402.3828	554.6667	-17.687475	0.13400891	-16.744726	-17.770428	44000	-0.012149215	2046.9758	0.0	-13.849548	1.0433402	8.940696e-10	15.934146165847778
