Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-246.96289	120.29645	10.989716	-492.1001	90.093025	-0.08798211	0.032415252	0.07077102	-0.2074621	4000	0.018463254	21812.527	0.0	-1080.7969	1.350698	5.9604643e-10	0.9638891220092773
1	-215.27675	122.781815	-21.740337	-497.52557	84.319145	-4.270086	0.32646316	0.30772543	-4.707812	8000	0.020111635	17211.594	0.0	-835.64795	1.3518767	8.9406954e-11	1.9005811214447021
2	-231.78433	135.85951	21.86745	-519.7256	87.52273	-8.179925	0.13477774	-5.7562675	-8.287531	12000	0.0039041117	19182.678	0.0	-720.55273	1.3529077	7.748604e-10	2.8391358852386475
3	-231.23193	137.198	4.532758	-537.9059	87.63636	-11.297904	1.0982922	8.962808	-11.435613	16000	0.010311447	19175.158	0.0	-672.46924	1.3538382	-1.4007091e-09	3.78908109664917
4	-236.6598	111.0898	12.209054	-471.69165	88.204544	-14.299277	0.19844103	-9.485405	-14.346666	20000	0.012779933	17165.137	0.0	-663.74316	1.3547096	-8.0466267e-10	4.729085922241211
5	-230.57184	116.53153	10.17608	-463.52957	91.65116	-17.227308	0.018101001	-16.782822	-17.24681	24000	0.013068162	15370.68	0.0	-560.7871	1.3556569	5.364418e-10	5.666461944580078
6	-208.96169	139.21156	25.589308	-538.92755	94.0	-19.90094	0.032989666	-18.87689	-19.918139	28000	0.013038873	14813.695	0.0	-457.74072	1.3567903	1.1324883e-09	6.610972166061401
7	-196.80577	120.96742	-6.2617273	-562.91174	82.6875	-22.332136	0.02978275	-21.689545	-22.345913	32000	0.015831966	12521.447	0.0	-412.92725	1.357555	-1.2218953e-09	7.555278062820435
8	-228.98897	106.1994	-44.74691	-482.3002	88.61364	-24.643518	0.27525258	-16.376564	-24.66853	36000	0.006468311	13039.46	0.0	-486.2119	1.3584994	1.758337e-09	8.502024173736572
9	-195.92969	119.825584	-6.5801167	-459.93863	89.068184	-27.173277	0.011343494	-26.938377	-27.181826	40000	0.006181985	11100.179	0.0	-341.7859	1.3596308	-9.23872e-10	9.462992191314697
10	-226.99344	126.33485	10.710132	-522.45026	85.195656	-29.339184	0.02144371	-28.39428	-29.347075	44000	0.007461831	14332.882	0.0	-462.67725	1.3602078	-9.536744e-10	10.445267915725708
11	-218.36494	108.967186	-26.456478	-483.19638	91.53488	-31.827892	0.02796224	-30.9937	-31.834993	48000	0.011347199	11583.653	0.0	-410.90234	1.3606	5.9604655e-11	11.41460394859314
12	-212.2347	105.51128	-42.56732	-483.2021	88.65116	-34.21662	0.003875394	-34.103905	-34.221634	52000	0.0089836195	9699.571	0.0	-340.86572	1.3614097	3.4272671e-09	12.374465942382812
13	-201.11179	91.59986	-32.448093	-400.57516	93.95238	-36.412903	0.0037278233	-36.34944	-36.417442	56000	0.004990913	7680.3887	0.0	-277.81274	1.3619146	2.4437905e-09	13.331228256225586
