Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-190.51799	125.496574	20.71471	-595.728	92.2619	-0.15508935	0.024327867	-0.031971425	-0.2251227	4000	0.0010455847	14591.857	0.0	-876.5635	1.3787067	1.4901164e-10	0.9999768733978271
1	-207.49709	109.948006	-62.037098	-545.5597	91.5814	-4.6011186	0.7600288	3.0151842	-5.5051355	8000	-0.0004178658	14911.319	0.0	-930.23096	1.3805947	1.2516975e-09	1.9763109683990479
2	-184.87741	104.066124	-65.34718	-444.1862	91.88372	-9.178992	0.36174893	-0.10218669	-9.3373995	12000	0.00017637014	11336.447	0.0	-544.16406	1.3800842	8.642673e-10	2.953249931335449
3	-186.61797	114.824486	26.758121	-423.2177	102.07895	-12.183631	0.36458457	2.1396399	-12.285792	16000	-0.0036975518	10345.607	0.0	-432.91406	1.3787317	2.4735929e-09	3.9483120441436768
4	-156.03949	89.03759	-44.43622	-499.412	91.39535	-14.864413	0.07643158	-13.398531	-14.907566	20000	-0.0027358625	6620.1514	0.0	-300.7732	1.3780973	8.34465e-10	5.008346080780029
5	-164.13292	109.010826	-23.572575	-439.67465	91.16279	-17.107935	0.20201321	-13.345458	-17.152454	24000	-0.0026287846	8457.671	0.0	-341.53418	1.3756768	-4.3213366e-10	6.307981967926025
6	-173.75015	96.990395	-47.306324	-422.55893	96.875	-19.515516	0.029093713	-18.990154	-19.53552	28000	-0.0072898194	8264.076	0.0	-363.11743	1.3719513	-1.8477441e-09	7.502511024475098
7	-168.4192	93.81282	-26.564644	-394.088	96.48781	-21.976702	0.5161819	-14.14997	-22.031944	32000	-0.010495296	7175.5435	0.0	-321.37646	1.3701105	2.3841856e-10	8.687701940536499
8	-176.40884	105.48114	-11.404103	-578.8926	101.57895	-24.328506	0.3048089	-16.559984	-24.36682	36000	-0.009643897	7364.8096	0.0	-303.85327	1.3674027	1.5795232e-09	9.920178890228271
9	-124.28762	70.74589	7.572947	-344.86386	97.0	-26.67346	0.015117807	-26.172749	-26.68277	40000	-0.0075940657	3163.864	0.0	-113.55139	1.366195	-4.470349e-11	11.334008932113647
10	-147.7154	76.80414	-27.746864	-353.3761	106.054054	-28.173512	0.047744796	-27.514153	-28.188477	44000	-0.0056416504	4431.9854	0.0	-175.60107	1.3619009	-2.041459e-09	12.607730150222778
11	-132.00555	75.16834	-1.8149687	-350.9062	99.789474	-30.001745	0.02540994	-29.283419	-30.011005	48000	-0.011193901	2799.302	0.0	-112.35394	1.3564098	1.4454127e-09	13.993389129638672
12	-126.433655	67.51345	-6.857001	-312.05798	104.0	-31.529812	0.09761328	-28.617443	-31.542198	52000	-0.012633562	2638.4922	0.0	-102.816956	1.3566743	-8.3446505e-10	15.12933087348938
13	-143.42921	105.690384	5.1681542	-547.33594	109.666664	-32.993275	0.14147703	-31.016914	-33.017406	56000	-0.0033665728	5543.255	0.0	-157.7373	1.3523865	1.1473894e-09	16.21130895614624
14	-111.19438	56.44203	-2.251342	-256.6483	109.11429	-34.8199	0.049011365	-33.713978	-34.828953	60000	-0.008670952	1518.4749	0.0	-45.71222	1.3482158	-4.768371e-10	17.220649003982544
15	-147.13391	84.44984	32.182148	-389.50742	117.55882	-35.883102	0.18518604	-30.75873	-35.901726	64000	-0.0037012473	3728.9788	0.0	-121.79761	1.3407769	7.0035455e-10	18.274492025375366
16	-126.34158	84.58474	31.766212	-329.0051	135.6207	-37.505642	0.13339293	-36.62797	-37.548893	68000	0.006741464	2747.8376	0.0	-31.403137	1.3374563	1.937151e-10	20.21391797065735
17	-130.94182	81.47735	-16.00413	-393.53394	107.69444	-38.442226	0.035865646	-37.503185	-38.44981	72000	-0.010906547	2903.9058	0.0	-89.45758	1.3256997	-5.5134297e-10	21.390371084213257
