Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-201.60362	121.42462	22.124828	-478.11493	131.9	0.13161749	0.07400424	0.3125018	-0.13667512	4000	0.0013674152	12247.222	0.0	-697.9746	1.3838583	1.5497208e-09	3.8500139713287354
1	-275.95453	121.64847	-73.75327	-542.2167	83.104164	-3.4504004	1.2270061	1.7711518	-4.7907233	8000	0.020770488	27480.078	0.0	-1857.8477	1.2989743	-4.4703483e-10	6.858418226242065
2	-138.16934	56.86873	-54.476376	-303.5673	89.568184	-9.600873	0.33634847	-3.7936738	-9.715217	12000	0.00023321724	5158.062	0.0	-259.85107	1.3609031	2.682209e-10	9.836266040802002
3	-180.97906	99.8307	87.95374	-415.8142	116.882355	-11.417391	0.7027737	-5.2292547	-11.723105	16000	0.028118879	8426.688	0.0	-265.48486	1.3377434	3.5762787e-10	13.585685014724731
4	-240.08398	124.221504	-56.783455	-560.99316	99.1	-13.621346	0.16246691	-11.445112	-13.691537	20000	0.04794376	16951.764	0.0	-737.90137	1.3141773	7.4505804e-11	16.657485008239746
5	-139.07242	72.941986	5.9389353	-356.4649	98.6	-16.9106	0.035118762	-16.06269	-16.939688	24000	0.019287065	5081.7	0.0	-217.21924	1.3229336	-1.6540289e-09	19.678602933883667
6	-122.71753	51.34544	-53.53207	-300.64645	107.333336	-18.792843	0.27605322	-14.189591	-18.84381	28000	0.0018150993	2790.7615	0.0	-117.53467	1.3309202	-4.1723253e-10	22.783579111099243
7	-113.336914	50.27288	-24.652945	-273.71494	105.052635	-20.191265	0.09342248	-18.637648	-20.219435	32000	-0.009115141	2343.4412	0.0	-83.6062	1.3144187	-1.4901161e-09	25.816476821899414
8	-93.08491	40.557426	-32.0387	-247.50642	107.77778	-21.413942	0.025104942	-21.010796	-21.434294	36000	0.00041704415	1645.0223	0.0	-46.14563	1.3114593	-2.6524067e-09	28.84943699836731
9	-66.54582	22.989178	-11.512947	-114.419464	121.030304	-22.365414	0.014519497	-22.276117	-22.383036	40000	-0.011044077	868.8239	0.0	-12.427612	1.2821438	4.4703483e-10	31.939675092697144
10	-38.953648	21.693668	22.948177	-79.14865	123.09375	-22.890114	0.018098509	-22.756283	-22.909393	44000	-0.02207239	820.1074	0.0	-0.38745117	1.2485203	3.5762787e-10	35.07220816612244
11	-27.64915	25.573694	16.192125	-72.75416	194.15	-22.952868	0.13197456	-22.330088	-23.019403	48000	-0.012457393	1005.5804	0.0	-2.4282227	1.1963096	-3.874302e-10	39.221081018447876
12	-55.022076	70.87248	36.753452	-221.2127	246.125	-22.77358	0.049027577	-22.328136	-22.810835	52000	-0.03284345	1368.4808	0.0	-1.8907471	1.1008806	1.5050173e-09	43.11062288284302
13	-1348.1917	823.3393	-153.93677	-2769.173	559.5714	-22.963493	0.006768083	-22.90463	-22.968607	56000	0.06992535	53922.496	0.0	-2596.0469	0.98406214	6.4074995e-10	48.333096981048584
14	-923.39795	548.4533	-199.13885	-1522.0444	569.1429	-29.59438	0.018956205	-29.4815	-29.604412	60000	0.04462006	20300.508	0.0	-961.2285	1.0454816	-7.4505804e-11	54.062816858291626
15	-198.9269	39.590427	-139.69376	-245.04868	661.8333	-33.58835	0.015673084	-33.489204	-33.604675	64000	-0.039709173	644.8275	0.0	2.0308838	1.0793028	-6.854534e-10	60.034871101379395
16	-138.43565	37.610214	-69.61345	-191.89442	658.0	-33.811726	0.11060407	-33.21721	-33.91603	68000	-0.034224454	949.2645	0.0	-4.1954346	1.0484651	2.6226044e-09	65.83545708656311
17	-98.7596	18.887486	-71.99385	-125.230194	928.0	-33.596977	0.081198774	-33.192364	-33.71569	72000	-0.026105449	882.0599	0.0	-18.5932	1.033196	-6.556511e-10	72.85024404525757
18	-26.417425	13.625777	-5.5541673	-43.768944	1000.0	-32.887352	0.17875442	-31.90795	-33.171867	76000	-0.014295715	1055.2202	0.0	-48.480957	1.0360898	-1.2665987e-09	80.01504898071289
19	-1.2456976	34.454296	26.02489	-59.30697	1000.0	-30.908043	0.8925717	-26.909668	-32.397415	80000	-0.05214657	1277.9243	0.0	-344.4427	1.0178297	-1.296401e-09	88.1592800617218
20	76.92344	95.499016	227.00856	-37.414185	811.5	-17.855095	5.680797	-7.593441	-24.324266	84000	-0.08790595	1472.2562	0.0	-698.56586	0.98468184	8.3446505e-10	95.32260799407959
21	104.32671	38.85752	165.63391	62.825764	1000.0	-9.502713	9.702401	14.154708	-16.632996	88000	-0.021306483	584.0991	0.0	-207.67285	0.8273828	0.0	101.15389108657837
22	97.57506	45.559193	144.54813	42.01748	646.8	-4.1394534	15.502784	28.84367	-14.723942	92000	0.01564511	525.6845	0.0	-70.94464	0.6905896	1.2665987e-09	106.34710001945496
23	64.49072	65.618614	221.7167	3.3208814	286.69232	11.89613	15.937872	30.355604	-10.821467	96000	0.0131166745	1573.6904	0.0	-207.21582	0.7524977	-4.4703484e-11	110.48104286193848
24	104.49013	68.220795	205.12515	16.357508	552.8571	5.806369	10.004986	28.432137	-8.513506	100000	0.033241782	842.35406	0.0	-79.40784	0.76516706	7.4505804e-11	115.05727505683899
25	57.469383	56.28453	174.90268	14.144731	315.8	9.114621	12.414076	30.675804	-8.302142	104000	0.0194283	1032.8906	0.0	-263.86926	0.7607076	-1.6391277e-10	119.46347308158875
26	64.30619	80.28212	255.99405	-18.7952	317.45456	4.094112	14.772446	30.979715	-29.67177	108000	0.028599337	1125.3917	0.0	-67.38452	0.7340094	-8.1956386e-10	123.70067977905273
27	107.70326	117.605774	282.32907	-21.366898	418.1111	2.2886739	15.659353	31.513979	-31.552315	112000	-0.031442877	1558.509	0.0	-161.92517	0.648128	3.427267e-10	128.16844582557678
28	244.21208	51.052998	280.00174	131.68556	595.0	12.284273	11.05424	31.785988	-21.156227	116000	0.023564849	1186.8533	0.0	-344.7005	0.62436956	9.685754e-10	132.89450907707214
29	225.52257	63.00668	293.9546	118.80542	544.0	23.21935	6.5152783	32.378662	10.746666	120000	-0.03751336	849.07635	0.0	-64.621704	0.6411405	-6.854534e-10	137.2936658859253
30	178.81203	108.06593	270.36002	-48.129208	370.0	29.000614	3.9327245	32.88479	-3.3861535	124000	-0.09148813	1429.9783	0.0	-126.45715	0.71898323	7.8976153e-10	141.71237897872925
31	212.01094	51.34594	252.85236	107.432625	652.6667	27.531162	7.01159	33.24282	6.23002	128000	-0.044248834	769.86926	0.0	-30.025879	0.7194198	-8.046627e-10	147.1053340435028
32	150.6873	28.05392	195.7271	124.684875	827.5	25.164015	6.3176656	33.142757	8.585731	132000	-0.12915818	892.30194	0.0	-309.60773	0.8528448	-1.192093e-10	155.19699907302856
33	120.865326	81.25281	221.10379	34.60007	822.25	8.5823345	9.855763	32.413982	-4.8791327	136000	-0.1418982	448.81042	0.0	-32.97647	0.89002293	-2.026558e-09	163.00897789001465
34	194.10246	29.021854	230.37335	138.66278	627.3333	11.686907	14.352264	32.90402	-9.516082	140000	-0.15086557	878.9094	0.0	-197.68292	0.84960216	-1.4901161e-10	169.81711792945862
35	239.32181	28.191748	273.64764	193.41904	477.75	19.5397	7.155254	33.330868	0.46852958	144000	-0.17611709	891.1578	0.0	-262.61084	0.79706335	-1.5944243e-09	174.87409615516663
36	235.53352	30.641685	268.16058	169.65744	479.625	32.948273	0.99994546	34.134216	30.09763	148000	-0.14483884	783.438	0.0	-4.337097	0.74046534	-8.493662e-10	179.91085410118103
37	203.85307	81.21712	271.43143	-4.806436	454.5	33.525715	0.77728784	34.52716	31.253239	152000	-0.13823386	888.04614	0.0	-6.1708984	0.7035663	-1.5944243e-09	185.0916349887848
38	231.89746	35.280174	284.87308	152.33084	421.77777	32.988274	1.2091031	34.593853	29.555775	156000	-0.14877327	760.3186	0.0	-21.675842	0.6992496	4.61936e-10	189.619530916214
39	116.21293	118.95487	250.75572	-27.217995	416.33334	34.377125	0.6698343	35.38057	32.0294	160000	-0.05604914	1809.9213	0.0	-358.85278	0.7203263	1.847744e-09	194.39911603927612
40	194.75824	75.72499	253.55624	0.006135949	478.0	21.163704	7.304736	34.312096	9.071679	164000	-0.1200872	740.1999	0.0	-78.16162	0.69411993	4.3213366e-10	199.44906210899353
41	104.079895	108.2034	244.10867	-20.200745	535.5714	25.459864	5.7047634	35.22186	13.68178	168000	-0.0678701	1462.0322	0.0	-473.49463	0.7415658	1.0430813e-09	204.49518203735352
42	115.817245	117.03257	209.26256	-114.134315	785.0	10.110931	17.075527	35.203754	-24.341654	172000	-0.074891366	862.9914	0.0	-68.52661	0.729854	-2.0563602e-09	211.33049488067627
43	78.13869	132.38396	170.36957	-150.52724	816.25	4.6600733	14.552159	35.514717	-12.896657	176000	-0.0749405	567.979	0.0	-36.684326	0.7622106	2.5629998e-09	218.75806093215942
44	34.86554	61.72209	138.57007	-12.713702	987.25	-1.1386318	11.709962	35.537506	-16.749195	180000	-0.078046374	222.00212	0.0	-17.306213	0.768749	-1.6093255e-09	227.0038378238678
45	-16.04758	8.062228	-2.5249598	-23.326963	1000.0	4.1905	6.477085	27.136255	-8.628267	184000	-0.07380259	133.25546	0.0	-100.10243	0.825572	-2.2947788e-09	235.74371910095215
46	-63.350178	14.391741	-44.24197	-82.04082	1000.0	-1.6696016	6.1070886	28.308615	-12.399076	188000	-0.0328564	87.953606	0.0	-57.395504	0.8006265	-2.115965e-09	243.9311158657074
47	-103.182976	28.748306	-62.4297	-143.67258	1000.0	-5.625362	4.784666	13.747434	-16.686863	192000	-0.019189227	120.095345	0.0	-63.503685	0.8075023	3.5762786e-09	252.58468198776245
48	-32.780193	19.278076	-3.548482	-51.30559	1000.0	-15.047071	5.272872	5.5052924	-23.42619	196000	-0.07026302	106.08491	0.0	-69.2994	0.79264534	-9.536744e-10	260.4465699195862
49	51.199566	54.443943	130.18747	-19.413847	987.5	-9.674359	9.958586	35.40133	-23.200836	200000	-0.0410458	331.92532	0.0	-134.43036	0.75201064	-1.4901161e-10	268.84017610549927
50	156.08604	29.901375	193.4633	116.66244	842.5	1.746194	9.652556	35.178604	-9.191816	204000	-0.10593612	685.1212	0.0	-268.12582	0.759923	6.109476e-10	276.6214048862457
51	186.74922	17.27488	212.88005	165.4336	770.8	5.8959074	10.754825	35.98964	-16.572115	208000	-0.12056239	534.81177	0.0	-128.94308	0.73902637	-9.387732e-10	283.99364399909973
52	191.59325	29.258133	237.82579	146.5042	592.8333	13.734723	11.286285	36.805824	-15.059623	212000	-0.14767356	491.90814	0.0	-90.28171	0.7067734	1.8030405e-09	289.75743985176086
53	222.7161	28.180916	272.19702	192.21945	519.0	19.393675	12.080431	37.731693	-16.778791	216000	-0.14851296	518.08295	0.0	-94.095764	0.6592733	-3.3378602e-09	294.9342520236969
54	187.65607	104.77918	276.11514	-82.68417	481.125	23.639141	12.96494	38.90833	-8.334951	220000	-0.09285384	823.32794	0.0	-48.047302	0.64496493	1.6987324e-09	299.85663986206055
55	120.07543	126.88854	279.50858	-67.005226	475.375	24.562574	15.02104	40.080082	-9.2737465	224000	-0.011133103	1488.7545	0.0	-199.23181	0.5756608	-3.427267e-10	304.56753516197205
56	53.131847	141.7788	255.32147	-106.97198	351.0	18.72334	18.940132	39.87369	-21.233282	228000	0.02529628	2018.2454	0.0	-315.6538	0.6286967	-2.592802e-09	308.8237099647522
57	51.639507	113.55271	235.32626	-72.41855	326.5	6.4950266	25.770014	40.13899	-39.130714	232000	0.041517	1810.2704	0.0	-71.99182	0.6278561	-8.046627e-10	313.05926489830017
58	51.785027	99.896355	211.33762	-63.961403	382.2	3.7868493	28.411234	40.26459	-40.94897	236000	0.019561652	1475.9098	0.0	-180.7334	0.63973093	-4.2170285e-09	317.9182891845703
59	26.36709	88.76445	184.29301	-70.78446	511.7143	10.214113	22.07116	40.01253	-39.810814	240000	0.02573197	1324.2822	0.0	-120.15283	0.6680942	1.5050173e-09	322.60799622535706
60	49.909145	97.96559	174.97556	-43.19387	460.57144	14.780291	23.090733	38.862988	-37.908848	244000	0.04333868	1241.1215	0.0	-163.84692	0.602747	3.6507846e-09	327.78436493873596
61	105.14317	147.0216	261.86124	-95.83868	549.2857	11.495563	20.98517	34.78898	-36.23999	248000	0.006717061	1289.631	0.0	-179.38135	0.54527336	7.1525574e-10	332.7221350669861
