Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	6.6869326	65.74955	159.8597	-105.4398	392.5	-38.414364	0.06473442	-37.856747	-38.429302	112000	-3.7550927e-09	2306.8572	-0.0078486735	-3.1774902	0.9901808	0.008600844	0.081	79.0	179.5961790084839
28	8.575677	76.45601	203.73833	-136.02968	326.54544	-38.04678	0.010048551	-37.943542	-38.050663	116000	-5.632639e-09	7869.3057	-0.009038305	-6.729492	0.96166486	0.008229186	0.065	79.0	186.77793312072754
29	-4.3350983	47.978848	122.70565	-40.390594	353.8889	-37.585445	0.009879361	-37.45481	-37.58934	120000	-3.695488e-09	1713.1051	-0.0059999274	-0.5246582	0.98646444	0.004593843	0.039	79.0	194.3142330646515
30	42.75197	66.71509	138.2041	-36.47645	638.5	-37.42897	0.009842637	-37.33462	-37.43256	124000	-2.2172928e-08	2096.95	-0.010219722	-51.962402	0.9309021	0.011572805	0.17325	79.0	202.61444807052612
31	30.889557	79.238556	126.960205	-81.78949	746.2	-36.127945	0.008345694	-36.058197	-36.13125	128000	-1.257658e-08	1920.0802	-0.010076033	-18.71814	0.97146916	0.01395215	0.09375	79.0	210.32549810409546
32	93.62135	74.37944	185.40233	-41.192986	799.4	-35.254658	0.010959352	-35.038548	-35.25813	132000	4.2021274e-08	4816.183	-0.008071401	-222.0127	0.92735964	0.004721422	0.0765	79.0	218.69379711151123
33	-39.797413	140.16234	103.32773	-241.43776	787.75	-32.47558	0.0068753455	-32.37033	-32.478077	136000	-8.34465e-09	5985.606	-0.00989196	-8.760742	0.92456824	0.0063478267	0.0435	79.0	226.39531111717224
34	-13.52392	77.320656	102.92964	-117.900856	638.6	-32.888786	0.005911614	-32.817562	-32.8914	140000	7.510185e-09	2723.2725	-0.008892254	0.056396484	0.92274207	0.004423336	0.07175	79.0	234.71440315246582
35	90.83137	107.630066	220.52542	-26.207056	605.6	-32.928543	0.022869589	-32.584457	-32.934185	144000	-2.5629998e-09	7522.1436	-0.007675881	-364.73682	0.87522346	0.007363202	0.08375	79.0	242.83545017242432
36	77.51927	21.47576	100.39076	45.75557	1000.0	-29.343937	0.005830755	-29.292273	-29.346916	148000	-1.2159347e-08	1792.6166	-0.005754634	-141.89087	0.87723875	0.004467639	0.06475	79.0	251.53264999389648
37	30.031242	75.21383	103.10506	-92.31406	871.0	-26.908594	0.009218244	-26.819017	-26.913492	152000	2.6881695e-08	1894.98	-0.007084372	-19.724365	0.9044103	0.01027318	0.0745	79.0	260.1541850566864
38	2.0696068	49.57412	73.10396	-66.56414	1000.0	-25.9455	0.0037111165	-25.908985	-25.947733	156000	1.1622906e-09	961.3572	-0.0073940353	0.051208496	0.9955168	0.006714709	0.1345	79.0	268.51776003837585
39	137.14449	69.4206	195.08142	13.606517	799.6	-25.9038	0.0069305566	-25.840172	-25.908066	160000	3.0994416e-09	9306.952	-0.0077310307	-703.5127	0.86860543	0.010704523	0.091	79.0	277.65966606140137
40	96.37669	132.41284	235.79112	-75.58127	534.1429	-20.975046	0.009194667	-20.92241	-20.9817	164000	1.1503697e-08	13197.547	-0.0058413995	-495.45605	0.979678	0.0049143275	0.055	79.0	285.2788050174713
41	189.64427	22.378487	232.18018	169.09767	697.4	-16.747488	0.007901554	-16.705645	-16.753384	168000	-4.315376e-08	13461.688	-0.004322528	-1255.8037	0.96807915	0.009757218	0.0725	79.0	293.3787829875946
42	214.46252	53.70376	306.68283	134.56616	612.3333	-10.704558	0.009289283	-10.643481	-10.712094	172000	2.3126603e-08	14284.08	-0.003953208	-1213.3604	0.8880209	0.008714015	0.1225	79.0	301.84180092811584
43	102.59048	127.97824	226.42262	-105.99364	608.6667	-5.1221857	0.009225123	-5.0768766	-5.1310043	176000	2.628565e-08	10911.425	-0.007611949	-247.77637	0.9448393	0.015012734	0.12775	68.0	309.79810309410095
44	64.433014	99.938934	179.23045	-79.744576	632.6667	-2.5068362	0.0071397386	-2.4671192	-2.5136104	180000	2.026558e-09	7400.052	-0.007007574	-163.94922	0.9366822	0.009795839	0.10425	79.0	317.7664861679077
45	70.25443	115.1065	192.16544	-100.141785	589.3333	-0.48183593	0.005378825	-0.44546083	-0.48721692	184000	-4.529953e-09	7069.971	-0.0056311972	-100.35986	0.92660093	0.0047710626	0.064	79.0	325.66577100753784
46	43.54308	115.92932	186.75374	-91.70534	622.5	1.1304938	0.0023444318	1.1374782	1.1276964	188000	8.5830685e-09	8257.167	-0.0059112986	-0.7529297	0.93262595	0.006139935	0.064	79.0	333.3311941623688
47	22.039865	130.72072	219.19124	-124.83664	654.5	1.3736387	0.0016561107	1.3772421	1.3693204	192000	-7.212162e-09	8285.239	-0.0065746796	-4.6640625	0.8817692	0.012491951	0.11375	79.0	341.9949471950531
48	40.8834	117.5215	208.27751	-84.39428	703.6	1.7124013	0.0008003329	1.7139335	1.7109339	196000	5.00679e-09	5620.2993	-0.005389402	-8.571289	0.9249466	0.005209752	0.0665	79.0	350.3879771232605
49	123.75116	79.27828	208.51956	-25.055456	691.0	2.196747	0.0018516644	2.1981122	2.1773174	200000	2.336502e-08	4854.395	-0.0047926423	-217.43896	0.87829745	0.008068378	0.06675	79.0	359.11688804626465
