Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-210.46083	112.69627	-50.309822	-460.6989	99.15385	-0.15914363	0.023739519	-0.040583793	-0.22640929	4000	0.004874103	15636.331	0.0	-989.2881	1.3788383	8.940698e-11	1.0568082332611084
1	-212.40427	128.30618	24.935175	-497.2291	96.097565	-4.459182	1.2035335	4.3734593	-5.4918966	8000	-0.0026132986	17412.36	0.0	-974.65186	1.3813711	-2.682209e-10	2.0755507946014404
2	-159.94669	91.29845	-22.031326	-448.27988	94.09524	-9.072549	0.09387021	-7.1471863	-9.207084	12000	-0.0025449172	8592.141	0.0	-391.95752	1.3813443	-2.6822092e-10	3.1047348976135254
3	-190.35493	114.31747	-40.067505	-444.20508	102.26316	-11.683942	0.21782014	-2.8520858	-11.7859955	16000	-0.0060537984	11369.371	0.0	-483.79297	1.3799155	-8.0466267e-10	4.136634111404419
4	-168.56905	93.13411	-53.330887	-385.49124	93.38095	-14.518537	0.23998982	-7.3053336	-14.573905	20000	-0.006164778	7832.4424	0.0	-356.4016	1.3783889	3.2782554e-10	5.171194076538086
5	-173.5596	102.64864	-26.096788	-482.39136	95.17073	-16.961306	0.35018244	-10.9853	-17.024002	24000	-0.0034993142	8881.365	0.0	-372.16943	1.3751113	4.768371e-10	6.197041034698486
6	-163.30934	95.49974	-35.83589	-455.61768	93.59524	-19.47938	0.07435947	-18.284834	-19.506536	28000	-0.0068121627	7402.35	0.0	-322.5703	1.3728092	1.1920929e-09	7.206529855728149
7	-164.67725	96.8544	-19.496183	-447.23697	104.888885	-21.846212	0.09624722	-19.885231	-21.871395	32000	-0.00577794	6034.642	0.0	-250.69336	1.3695337	-8.1956386e-10	8.279123783111572
8	-176.06496	112.94642	-26.722593	-539.2819	100.5641	-23.967836	0.12331211	-22.06802	-23.994926	36000	0.000461236	8828.137	0.0	-358.73608	1.3658059	-4.768371e-10	9.328265905380249
9	-150.03273	83.36869	30.986073	-381.8035	102.46875	-26.310555	0.78202224	-19.880037	-26.504808	40000	-0.007303424	4921.311	0.0	-205.37158	1.3656313	-2.4437905e-09	10.639178991317749
10	-138.07356	82.407265	-28.610386	-410.03348	103.26316	-28.01475	0.093945675	-24.070538	-28.039494	44000	0.00030965358	4005.5957	0.0	-142.69934	1.3593805	-6.556511e-10	11.68169903755188
11	-133.65126	80.40756	-3.2064345	-367.04562	96.775	-29.604116	1.2682426	-1.3752658	-29.699656	48000	-0.0049956553	3538.8428	0.0	-133.35986	1.3539546	-8.9406954e-11	12.952816009521484
12	-141.80614	76.94305	-46.703823	-354.86508	103.567566	-31.30723	0.0120931165	-31.145716	-31.316767	52000	-0.012543656	3528.8052	0.0	-149.07288	1.3506575	-1.1175871e-09	14.069393157958984
13	-155.15453	75.271034	-53.795296	-384.30685	107.25714	-32.98988	1.14319	-7.5108814	-33.085808	56000	-0.015600376	3481.2576	0.0	-182.65906	1.3438003	1.4156103e-09	15.204442024230957
14	-144.48195	75.089	23.388334	-289.135	113.74286	-34.828342	2.6692564	23.376062	-34.97195	60000	-0.0060029067	3128.3267	0.0	-173.38977	1.345173	6.109476e-10	16.35505509376526
15	-135.37743	80.52586	-17.606234	-322.2026	110.0	-36.67482	0.09532878	-35.103584	-36.689083	64000	-0.0111758895	3331.7598	0.0	-107.40875	1.3368042	-3.2782554e-10	17.469033002853394
16	-134.51251	70.64327	-33.092636	-316.6927	121.67742	-38.239697	0.43426338	-24.503668	-38.275536	68000	0.00063897297	2541.7026	0.0	-63.90161	1.3339735	1.3560058e-09	18.565383911132812
17	-147.53421	71.47909	-23.356768	-317.41165	114.64706	-39.516903	0.22890824	-31.111116	-39.52871	72000	-0.014343984	2700.527	0.0	-113.26318	1.324306	9.536744e-10	19.66241192817688
18	-126.247536	96.992226	41.798733	-415.59454	121.0625	-41.17929	0.0072073815	-40.95396	-41.18215	76000	-0.008815486	2913.38	0.0	-49.533813	1.3225288	-4.61936e-10	20.748228073120117
19	-132.05322	89.71402	1.9712566	-353.8435	113.73529	-42.3436	0.12338668	-40.18553	-42.35675	80000	-0.011323556	2927.9666	0.0	-63.650513	1.3144633	-3.5762787e-10	21.807929039001465
20	-114.01724	77.198975	33.549496	-301.96576	121.1875	-43.637093	0.097569086	-40.9698	-43.648335	84000	-0.0070045292	1873.881	0.0	-20.69394	1.3158655	1.3858079e-09	22.897021770477295
21	-121.30549	99.09555	-6.28755	-509.8261	122.3125	-44.434147	0.041825827	-42.954235	-44.440998	88000	0.007598205	3023.0762	0.0	-30.812744	1.299048	-2.5629998e-09	24.008960008621216
22	-118.18012	81.119415	-11.176714	-354.1195	112.97059	-45.379196	0.012246054	-45.03039	-45.381508	92000	-0.0044337027	2425.4604	0.0	-39.821167	1.2909384	1.5944243e-09	25.099878072738647
23	-113.76695	86.83509	16.979736	-333.8502	123.21875	-46.483994	0.003998814	-46.401913	-46.486008	96000	-0.013068059	2093.7222	0.0	-19.567505	1.2898127	-1.2814999e-09	26.18449306488037
24	-126.93568	78.40051	-15.012489	-330.2934	128.03334	-47.299095	0.006614971	-47.134007	-47.301327	100000	0.012074463	2000.0508	0.0	-18.83139	1.2763407	-4.0233133e-10	27.267597913742065
25	-148.44968	111.47037	55.077625	-385.88504	193.05	-48.051826	0.16370033	-45.210743	-48.09785	104000	-0.008209139	3146.3271	0.0	-34.7063	1.283196	1.1622906e-09	29.449937105178833
26	-93.394325	59.22463	-10.686882	-272.19473	123.19355	-48.41743	0.042754263	-47.689655	-48.43099	108000	-0.01264973	1346.242	0.0	0.034118652	1.2599518	-4.3213366e-10	30.53540802001953
27	-101.91164	82.97052	25.780397	-284.7041	128.8	-48.354404	0.030079314	-47.73378	-48.370533	112000	-0.0038656164	1740.5803	0.0	-1.5438843	1.2503893	2.5033953e-09	31.642152786254883
28	-118.966644	87.76645	17.266203	-345.4863	131.2	-48.494694	0.7898939	-32.70014	-48.58202	116000	0.0016565919	2347.7507	0.0	-22.957214	1.2382374	-1.4901191e-11	32.790247201919556
29	-81.35851	39.06027	-0.31200188	-189.42357	134.06897	-49.144882	0.17180449	-38.868507	-49.15606	120000	-0.032542862	1122.5734	0.0	-24.655396	1.2419016	-2.6822092e-10	33.93725895881653
30	-87.0689	78.82927	32.075706	-265.10214	151.03847	-48.21778	0.11841487	-44.92298	-48.235077	124000	-0.013175085	1801.0863	0.0	-12.268677	1.2381399	-6.556511e-10	35.081603050231934
31	-108.60385	87.21956	25.058352	-347.27722	157.92	-47.494415	0.037146337	-46.266373	-47.50139	128000	0.01027653	2343.8398	0.0	-1.7051392	1.2306857	8.3446505e-10	36.212103843688965
32	-91.125336	61.444065	25.241446	-197.76021	157.56	-47.185825	0.099102706	-46.15594	-47.214157	132000	-0.020826444	1317.9847	0.0	-7.1921387	1.2301219	-1.6093253e-09	37.678789138793945
33	-65.43271	59.32527	34.58783	-223.0384	155.24	-46.63889	0.06263361	-45.608086	-46.65132	136000	-0.029662661	1812.9764	0.0	-46.339905	1.221491	1.8924475e-09	38.87549090385437
34	-48.471153	66.802536	33.483276	-259.28323	148.24	-45.181194	0.16411273	-41.34912	-45.19532	140000	-0.016964413	1802.1367	0.0	-62.71057	1.2177806	2.9057265e-09	40.098625898361206
35	-43.58318	40.87184	43.902946	-157.09105	141.59259	-43.451725	0.0035747038	-43.41281	-43.45363	144000	-0.029809257	1464.7609	0.0	-89.13446	1.2021818	-8.940696e-10	41.29845094680786
36	-71.40981	73.862595	14.004786	-274.19653	206.47368	-41.297024	0.13115197	-39.95072	-41.336647	148000	0.0012261681	1704.594	0.0	-48.56317	1.2130445	1.4305115e-09	43.87277007102966
37	-74.6688	72.995544	5.8834343	-331.16702	164.30435	-39.69309	0.19676533	-36.914738	-39.73154	152000	-0.018944161	1870.825	0.0	-10.673706	1.1833165	1.5944241e-09	45.552233934402466
38	-100.943375	103.35167	30.199675	-418.9353	209.05556	-38.75695	1.618245	-9.826658	-38.929054	156000	0.00369409	3164.4448	0.0	-29.614014	1.1731793	-5.9604643e-10	47.1323881149292
39	-42.94302	50.744007	49.19177	-105.261215	349.22223	-38.5041	0.057726283	-37.948067	-38.532097	160000	-0.018903285	1700.8109	0.0	-122.89563	1.223638	7.748604e-10	49.318992137908936
40	-48.935696	42.914608	36.465847	-129.01572	276.57144	-35.92513	0.23222831	-34.196285	-36.007427	164000	-0.03224116	1261.94	0.0	-148.35626	1.2001191	3.6507846e-09	51.75981402397156
41	-45.099358	45.40413	12.662673	-171.39867	205.88889	-33.850048	0.4334062	-29.355906	-33.999004	168000	-0.030670473	1363.7468	0.0	-55.86676	1.174441	-1.4901161e-09	53.64867305755615
42	-71.69661	111.161316	1.9244893	-336.2803	370.2857	-19.779554	18.36831	27.345081	-32.23143	172000	-0.011897765	2451.4097	0.0	-419.51276	1.2022566	1.296401e-09	56.03071713447571
43	-49.778225	80.75332	32.86001	-262.6127	260.14285	-30.193619	2.1641092	17.042368	-30.76095	176000	-0.024269126	1637.8942	0.0	-78.22577	1.1745981	-1.6391277e-10	58.14758110046387
44	-39.262363	58.488388	49.681488	-161.74458	230.125	-25.910477	7.804735	16.643423	-29.544003	180000	-0.03404855	1296.6691	0.0	-42.494873	1.160102	-4.768371e-10	60.06688714027405
45	-40.40276	50.406414	41.900944	-142.40623	196.41176	-25.197218	9.527799	26.62052	-28.291235	184000	-0.01942974	2047.0566	0.0	-410.21478	1.1386963	-3.2335519e-09	61.39622497558594
46	-60.435337	70.37095	31.673904	-224.4455	247.93333	-26.74961	0.31639728	-19.922825	-26.84775	188000	-0.04006461	1798.6396	0.0	-10.155823	1.1624231	-9.983778e-10	63.67084312438965
47	-49.363415	72.72297	45.65103	-241.36385	321.3	-25.818739	0.69987726	-18.904003	-26.123869	192000	-0.021621307	1504.0831	0.0	-121.36615	1.1573535	-1.4901191e-11	65.96028399467468
48	-65.507	71.8311	41.76485	-199.50626	264.0	-21.05891	0.56925094	-18.64867	-23.642927	196000	-0.016491551	1606.0037	0.0	-78.798035	1.1476543	-1.0132789e-09	67.77862000465393
49	-22.114866	49.9108	55.37395	-97.1948	436.55554	-19.48228	2.14817	-9.583657	-23.94957	200000	-0.036672495	1173.5312	0.0	-192.50665	1.1584746	-3.3676624e-09	70.0072910785675
50	-50.994556	66.51383	48.675694	-174.91978	309.0	-9.181812	6.4459352	13.974571	-23.154686	204000	-0.026800223	1247.719	0.0	-78.52298	1.1313078	-2.6822092e-10	72.4708662033081
51	-32.194256	71.66007	59.222824	-202.43289	414.1111	-12.435379	8.875456	12.096379	-24.11552	208000	-0.030926086	1075.8699	0.0	-88.59204	1.1361451	-1.2367964e-09	74.53884410858154
52	-54.625843	50.806564	12.321734	-121.96408	555.6667	-5.8098993	13.772127	14.527487	-24.573423	212000	-0.028653197	755.94116	0.0	-117.74591	1.1553547	1.4901164e-11	77.03986501693726
53	-55.158592	27.233292	-17.078344	-92.14469	726.2	-10.527944	6.6009097	4.5850945	-24.255955	216000	-0.040664684	759.30725	0.0	-53.030457	1.1494588	2.041459e-09	79.88944411277771
54	-111.66345	78.05505	-7.670009	-254.75801	411.5	-6.691542	8.606677	5.178914	-24.19825	220000	-0.0066034123	1096.3839	0.0	-190.45413	1.1007769	3.2633543e-09	82.01261591911316
55	-92.34793	112.15604	35.49833	-287.22406	307.25	-17.117937	6.5610194	-6.3995657	-25.597929	224000	-0.018244267	1462.5159	0.0	-36.232483	1.1041994	-3.4868717e-09	84.1037769317627
56	-90.17528	55.60877	-0.74191767	-144.77235	404.875	-19.755497	4.415478	-12.619104	-26.25313	228000	-0.04788256	1090.1338	0.0	-187.0827	1.0940415	-1.4603139e-09	85.85912704467773
57	-63.515434	100.27982	38.735176	-275.88324	393.77777	-15.8559675	10.763162	0.22434574	-27.383316	232000	-0.015265053	1132.8582	0.0	-164.97995	1.0925906	1.8775463e-09	88.5185170173645
58	-52.881645	58.775753	10.220114	-167.90007	341.2	-11.065083	13.53769	10.795402	-27.5256	236000	0.0065823346	891.6753	0.0	-61.534546	1.1019211	-1.3262034e-09	90.66905379295349
59	-41.903034	47.799835	28.485172	-121.380005	500.2857	-17.775713	11.536189	7.9254684	-27.447676	240000	-0.034514386	783.5675	0.0	-48.840088	1.1060578	-1.0430812e-10	93.0272228717804
60	11.002081	28.849604	49.22408	-38.600636	554.2	-16.036703	13.724878	10.383973	-26.853243	244000	0.0006679675	745.13513	0.0	-153.25107	1.136085	-1.3560056e-09	95.32021713256836
61	-40.759148	28.507658	-10.724739	-82.404045	843.5	-9.790668	18.480719	21.222143	-26.323484	248000	-0.005065661	545.5514	0.0	-97.27135	1.1295321	-1.564622e-09	98.34994196891785
62	-4.777115	50.144382	74.90772	-84.58877	437.0	-2.4729252	16.450068	21.254519	-25.141638	252000	-0.021666214	925.4121	0.0	-111.94885	1.0766568	1.4901161e-09	100.62307906150818
63	-50.249046	95.286705	44.29307	-211.39369	461.0	-2.6009936	15.833123	22.962507	-23.625208	256000	-0.029411219	1380.4739	0.0	-228.43271	1.0792831	-2.4586917e-09	103.0132110118866
64	-0.5933244	39.826218	56.48709	-53.492004	430.0	-5.9773293	20.613884	24.125942	-26.858715	260000	0.0010225996	575.13525	0.0	-84.20683	1.055232	6.2584876e-10	105.58426308631897
65	-34.42566	59.99164	24.344616	-193.0376	298.8	-6.364122	17.764853	23.753853	-25.750174	264000	-0.05247516	859.9347	0.0	-40.30304	1.0508549	-1.0579824e-09	108.17468094825745
66	3.056837	78.82591	150.90144	-91.52863	258.85715	-1.8303025	18.027315	24.053032	-26.75786	268000	-0.10595177	1359.2019	0.0	-144.52936	1.0490835	1.9371509e-09	109.60436797142029
67	-13.15576	76.92882	56.99485	-200.3537	329.4	-4.605425	15.572504	23.755585	-27.112328	272000	-0.040015206	937.7418	0.0	-98.6358	1.0059569	-1.3262034e-09	111.35261988639832
68	-14.303572	115.97065	202.36935	-173.23428	554.4286	-8.423907	17.768312	24.573584	-28.4317	276000	-0.07379565	1200.195	0.0	-91.955414	0.97604144	-1.0430812e-10	113.86378693580627
69	-4.1171446	59.466434	84.99564	-130.7428	321.5	-6.8726854	17.166418	25.764006	-29.347075	280000	-0.03333533	699.2988	0.0	-48.453506	1.0290433	2.2053719e-09	116.46864104270935
