Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	21.60326	10.80007	65.0	8.0	21.60326	0.10907947	0.009190545	0.1574765	0.061336268	4000	2.9802322e-08	233.99452	-0.024650872	-109.070595	0.691769	0.010090204	0.17525	79.0	0.906980037689209
1	29.377777	18.842375	125.0	9.0	29.377777	6.909363	1.2014067	14.713511	5.5603623	8000	-4.8428774e-08	321.21985	-0.024466768	-148.64706	0.68342245	0.012700661	0.09125	79.0	1.7077879905700684
2	38.411766	21.662905	109.0	13.0	38.411766	17.654768	1.1227305	20.484512	12.279736	12000	-1.1175871e-08	221.64226	-0.02533501	-48.142918	0.6612841	0.012708647	0.10825	79.0	2.597151041030884
3	72.78	50.280926	200.0	13.0	72.78	21.394024	4.565035	28.120224	0.10403842	16000	-1.0430813e-07	735.016	-0.020920292	-326.9425	0.64287865	0.0077137137	0.09775	79.0	3.580763101577759
4	104.26471	51.392555	200.0	20.0	104.26471	37.652836	9.334779	57.471287	-7.2068887	20000	2.0489097e-08	494.04486	-0.01452795	-133.68994	0.6208497	0.00953247	0.07075	79.0	4.597429037094116
5	130.93103	56.645252	200.0	15.0	130.93103	43.131294	15.061631	59.579456	-16.100237	24000	-2.7939677e-08	345.14035	-0.012436005	-80.16439	0.60216624	0.010019707	0.074499995	79.0	5.525619983673096
6	178.19048	38.785885	200.0	37.0	178.19048	50.927673	14.096711	68.255424	2.5281892	28000	-1.3969839e-08	294.2898	-0.008957885	-104.05113	0.5942668	0.009198151	0.09475	79.0	6.317963123321533
7	199.05	3.3387873	200.0	185.0	199.05	61.747063	17.850306	78.24408	-10.383717	32000	1.8626451e-08	475.9358	-0.0024291286	-77.92914	0.58420825	0.0069118356	0.011499999	79.0	7.121664047241211
8	185.3	29.65316	200.0	94.0	185.3	56.55668	12.712124	73.27037	8.780744	36000	7.450581e-09	331.39502	-0.008362302	-24.620617	0.58149487	0.00675789	0.069000006	79.0	7.9240381717681885
9	192.0	24.132965	200.0	112.0	192.0	61.475952	11.176987	77.85364	7.7896495	40000	-2.7939677e-09	353.27908	-0.005228116	-48.294235	0.5765813	0.0014474953	0.033	79.0	8.703790187835693
