Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-240.38475	119.82953	-41.81996	-492.68677	85.933334	-0.08853355	0.028721105	0.038277715	-0.1540598	4000	0.023622073	21310.271	0.0	-1066.8018	1.3500878	-2.9802322e-10	1.000756025314331
1	-201.13333	104.37898	-0.5726957	-441.8221	87.82222	-4.183111	0.5195569	1.9961909	-4.6794868	8000	0.0075577796	15119.137	0.0	-773.99805	1.3634362	-3.874302e-10	2.0517189502716064
2	-200.40346	118.05654	-17.316402	-480.99884	90.34091	-8.063165	0.12624703	-6.107677	-8.200291	12000	-0.0017144084	14154.004	0.0	-601.4385	1.3700961	-5.960465e-10	3.0948688983917236
3	-145.84537	95.3927	70.93464	-411.65118	86.5	-11.097269	0.35666236	-2.703216	-11.186727	16000	0.0021570986	8037.256	0.0	-305.15674	1.3726208	-1.1920928e-10	4.104921817779541
4	-156.24931	80.05623	20.986538	-386.96182	85.195656	-13.322636	0.16667913	-9.13543	-13.366763	20000	5.577877e-05	7339.2363	0.0	-329.78857	1.3753328	-6.854534e-10	5.093259811401367
5	-141.35916	63.66468	-35.73463	-296.44458	84.41304	-15.604081	0.24182388	-11.426279	-15.651638	24000	-0.0040027015	5545.113	0.0	-269.57153	1.375479	3.5762784e-10	6.081654787063599
6	-154.4398	108.430275	25.866577	-412.9124	96.775	-17.746008	0.04198987	-16.60147	-17.769268	28000	-0.0038369782	7468.6543	0.0	-287.2212	1.3740593	-8.940698e-11	7.075284957885742
7	-154.25777	93.512054	-17.720156	-421.3967	96.46342	-19.967743	0.08047047	-18.500587	-19.99031	32000	-0.005334366	6854.6416	0.0	-272.24976	1.3725011	1.192093e-10	8.057535886764526
8	-138.51039	91.27877	-30.005894	-473.90225	90.15909	-22.175625	0.044234823	-21.108912	-22.190744	36000	-0.0004066676	5650.734	0.0	-233.34204	1.3705182	1.3113022e-09	9.0569908618927
9	-159.59735	98.25462	18.117228	-378.61557	99.589745	-24.244598	0.10472187	-22.759066	-24.266504	40000	-0.0045942143	6580.955	0.0	-250.84082	1.3691461	1.7881396e-10	10.060267686843872
