Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	22.225433	11.4776	81.0	9.0	22.225433	0.26107195	0.07301199	0.4191141	0.058287527	4000	3.3527613e-08	262.34818	-0.017223518	-139.82536	0.69273585	0.007173172	0.1105	79.0	0.867887020111084
1	28.970802	17.01049	89.0	9.0	28.970802	7.8274903	0.19133714	8.186786	6.002881	8000	-1.6065314e-08	241.12299	-0.01785526	-75.86661	0.6852628	0.006410556	0.061	79.0	1.6714997291564941
2	35.107143	22.204147	128.0	9.0	35.107143	13.801262	0.21496281	13.9833555	11.259551	12000	-7.450581e-09	260.92847	-0.013663533	-45.48134	0.6679914	0.015508015	0.111	15.0	2.2628729343414307
3	59.0	35.47671	146.0	12.0	59.0	18.023653	1.2890534	18.533659	-1.4545717	16000	1.6763806e-08	513.45276	-0.012298455	-124.97822	0.6488792	0.0033287134	0.03725	79.0	3.1618399620056152
4	79.76087	44.167263	188.0	10.0	79.76087	25.021055	1.1671255	25.382433	2.4624393	20000	4.4703484e-08	652.72394	-0.012505643	-142.0339	0.6335075	0.0035213975	0.032	79.0	4.058905839920044
5	125.53333	50.16422	200.0	21.0	125.53333	30.928946	5.745367	32.317142	-24.733831	24000	9.685755e-08	728.58813	-0.0069880215	-201.68707	0.6262488	0.0021546397	0.01575	79.0	5.012919902801514
6	138.33333	50.65058	200.0	36.0	138.33333	37.086914	7.0392585	39.884865	0.75560296	28000	1.3504177e-08	560.60144	-0.0074094217	-122.72559	0.6114475	0.004272975	0.02825	79.0	5.904947996139526
7	156.125	39.842724	200.0	54.0	156.125	42.044476	8.016986	45.69042	0.086814284	32000	6.9849193e-09	488.90747	-0.006070111	-165.63495	0.6029171	0.005704709	0.056500003	79.0	6.774808883666992
8	155.73914	49.66603	200.0	37.0	155.73914	42.34644	12.168577	51.090683	5.7079906	36000	-6.7055225e-08	426.83215	-0.0077440105	-96.337585	0.6035222	0.00689827	0.0585	79.0	7.628811836242676
9	186.9	32.55288	200.0	84.0	186.9	53.35589	6.4172306	55.38799	8.6805315	40000	-4.656613e-10	502.4143	-0.0021205395	-111.786896	0.6018685	0.0012529443	0.021000002	79.0	8.449422836303711
