Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-231.28975	100.747665	-62.228657	-502.15527	86.78261	-0.087809354	0.031871237	0.06908102	-0.19101253	4000	0.020990144	19483.498	0.0	-1063.0	1.3501682	7.4505807e-10	2.8833467960357666
1	-168.42514	102.954834	41.08493	-436.22705	96.48781	-3.9382288	0.60548884	2.0935123	-4.5059586	8000	-0.0015633815	10028.526	0.0	-624.8037	1.3695577	-1.8328429e-09	5.837954044342041
2	-116.809265	62.62217	-20.356974	-333.3426	104.23684	-7.6778545	0.13611093	-6.471572	-7.8140774	12000	-0.0029595657	4298.1313	0.0	-235.38843	1.3343164	-1.3560056e-09	8.84829306602478
3	-167.01979	115.092285	-21.982733	-507.53973	124.741936	-9.865427	0.19907297	-7.4927115	-9.975208	16000	0.026116531	8893.012	0.0	-389.39453	1.2778811	-7.301569e-10	11.92187786102295
4	-130.97818	113.89831	43.157574	-528.9705	139.21428	-12.610777	0.20417328	-10.893513	-12.704938	20000	0.02966962	6025.3535	0.0	-206.03271	1.2210916	4.61936e-10	15.131814002990723
5	-53.973747	77.15656	42.223965	-250.11905	150.57692	-14.7198515	0.16458644	-12.046643	-14.778194	24000	-0.0056382464	2357.677	0.0	-15.190918	1.1841804	-4.61936e-10	18.331046104431152
6	-33.999363	60.807167	47.25936	-197.86194	278.2143	-15.060498	0.75415355	-10.224429	-15.422318	28000	0.017811475	1562.3431	0.0	-11.914795	1.1291748	-1.5944243e-09	22.86564803123474
7	-115.45265	76.148674	19.134481	-264.6138	381.5	-15.1695175	0.19971685	-14.407978	-15.308412	32000	-0.016874267	1997.0597	0.0	-21.456787	1.1130837	2.0116568e-09	27.754994869232178
8	-35.75876	66.34898	63.442623	-174.72939	228.23529	-15.9015465	0.1091529	-15.383209	-15.959602	36000	-0.0040793135	1486.2501	0.0	-0.19226074	1.0312079	-3.2782554e-10	32.43267202377319
9	2.8569934	68.77244	176.99425	-138.66492	202.93333	-15.949658	0.1103299	-15.228923	-15.997544	40000	0.021071471	1425.6544	0.0	-15.231689	0.9678606	-1.1473894e-09	37.227843046188354
10	8.469896	70.206116	257.67203	-74.856346	201.57895	-15.308585	0.03830682	-14.866008	-15.338735	44000	0.009544036	1917.4077	0.0	-13.681763	1.0173941	-2.0563602e-09	40.778557777404785
11	32.6535	74.285965	145.86552	-66.28396	428.66666	-14.5988865	0.16777591	-11.915231	-14.650999	48000	-0.07196519	1752.6171	0.0	-40.24768	0.93236375	1.6242265e-09	45.4070827960968
12	26.328192	96.74093	178.91959	-129.22855	523.4286	-13.471818	0.1023702	-12.652832	-13.5272665	52000	-0.07989838	1148.7456	0.0	-37.005127	0.8903214	1.6242265e-09	51.770318031311035
13	-121.80736	95.52359	70.995834	-211.94664	549.0	-12.147083	0.41237083	-8.954012	-12.35284	56000	0.0019041331	1260.6978	0.0	-30.293945	0.9606409	1.192093e-10	57.71236801147461
14	-137.84132	49.22365	-15.904172	-196.10127	359.0	-12.988843	0.015973458	-12.885005	-13.004497	60000	-0.04517861	1274.4117	0.0	-85.647095	0.9772341	2.30968e-09	62.208518981933594
