Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-209.80965	128.69246	21.867525	-565.387	95.19512	-0.15678504	0.022979649	-0.043582983	-0.20866741	4000	0.00092704594	16414.496	0.0	-967.09326	1.3789079	-6.556511e-10	0.9898290634155273
1	-176.02444	112.00329	51.402508	-507.55725	125.6129	-4.4097743	0.77789277	2.3962376	-5.331411	8000	0.0006328672	8804.67	0.0	-474.3828	1.3796828	8.0466267e-10	2.6643340587615967
2	-207.72621	105.7344	-49.614807	-510.7884	86.888885	-8.421782	0.44165927	-0.77176833	-8.626149	12000	0.004175164	14509.602	0.0	-792.03955	1.3794367	-2.9802322e-10	3.62900710105896
3	-201.82193	121.13649	-35.811325	-529.05237	96.560974	-12.25949	0.7533129	7.8337336	-12.378824	16000	0.0013808813	12991.842	0.0	-589.6509	1.3792673	-1.66893e-09	4.645535230636597
4	-210.20094	135.13678	-0.28421852	-508.34528	91.093025	-15.436508	0.126767	-12.952778	-15.477606	20000	0.00014244905	14920.905	0.0	-595.18164	1.3796136	3.5762787e-10	5.636763095855713
5	-205.41731	135.97339	-43.506016	-525.3038	91.5	-18.508295	0.02230697	-17.902859	-18.529823	24000	0.0027849302	13541.875	0.0	-491.5913	1.379703	2.7418137e-09	6.613626956939697
6	-186.40817	116.890236	-25.999815	-559.2804	93.690475	-21.173033	1.3987813	3.9526184	-21.295326	28000	0.0020743534	10470.238	0.0	-419.05835	1.3798954	-1.6391277e-09	7.5876688957214355
7	-228.34416	129.55035	11.160214	-486.70682	96.025	-23.727083	0.03457524	-23.055004	-23.73896	32000	-0.00043569505	13296.77	0.0	-481.4082	1.3801264	-5.066395e-10	8.545278072357178
8	-215.21138	112.131836	-66.70436	-537.13727	89.40909	-26.442581	0.067690946	-24.384369	-26.45651	36000	9.928644e-05	11520.459	0.0	-476.9182	1.380121	1.3709068e-09	9.566246032714844
9	-194.65323	99.0055	52.75754	-403.23465	92.5814	-29.163282	0.02217451	-28.647444	-29.170897	40000	-0.000882294	8653.415	0.0	-333.88232	1.3802209	-1.0728836e-09	10.540108919143677
10	-196.5381	117.37585	-72.09918	-489.1497	92.16279	-31.473238	0.0043133004	-31.433819	-31.478642	44000	4.929118e-05	9453.584	0.0	-340.47998	1.3806369	5.6624416e-10	11.505722045898438
11	-185.0446	104.42183	13.138191	-412.62744	93.88095	-33.783825	0.16287257	-30.246971	-33.802387	48000	0.0008131936	7560.765	0.0	-279.57275	1.3806471	5.9604655e-11	12.501542091369629
12	-177.41391	111.33477	45.160793	-484.95514	91.209305	-35.934097	0.033746272	-35.06241	-35.93931	52000	0.00248315	6969.662	0.0	-208.13037	1.3808618	-1.2814998e-09	13.467476844787598
13	-165.67387	86.23152	-16.968946	-384.7937	92.45238	-37.814186	0.04339939	-36.94521	-37.82004	56000	-0.0038904175	4851.8643	0.0	-182.90271	1.3809643	1.1324883e-09	14.462555170059204
14	-195.27124	109.84421	-17.949501	-488.78833	93.29269	-39.59873	0.012064114	-39.298244	-39.60273	60000	-0.0010497756	7246.244	0.0	-266.1006	1.3809574	2.9802324e-10	15.44509506225586
15	-176.16843	102.540215	-6.7121663	-385.44907	97.125	-41.743477	0.06385754	-40.725	-41.75112	64000	-0.0010093339	5555.448	0.0	-179.25146	1.381285	-4.768372e-10	16.42873215675354
16	-210.2672	119.70743	22.800154	-426.49548	103.13158	-43.570633	0.040252335	-42.339996	-43.57679	68000	0.0008801464	8134.1387	0.0	-282.73218	1.3809111	-8.642674e-10	17.409597158432007
17	-162.7579	115.97879	-45.328266	-534.7943	90.63636	-45.83264	0.0014950421	-45.820595	-45.83468	72000	-4.6366826e-05	5542.668	0.0	-143.37622	1.3811309	-8.642673e-10	18.366142988204956
18	-202.03737	115.0956	17.38639	-463.13562	92.809525	-47.512108	0.17628686	-43.684425	-47.52458	76000	-0.001533566	7512.9097	0.0	-291.93262	1.3813274	-1.3113022e-09	19.32707405090332
19	-181.74898	121.77769	12.300701	-439.32162	97.05	-49.847565	0.012452175	-49.56888	-49.850445	80000	0.0002161935	6195.851	0.0	-162.96484	1.3811438	-4.470348e-10	20.31250286102295
20	-226.80986	113.819	-73.58858	-461.8271	97.575	-51.676834	0.034860738	-50.441982	-51.680557	84000	-0.00014576316	7426.772	0.0	-299.50513	1.3812081	0.0	21.328745126724243
21	-185.3781	103.78334	-37.566803	-440.13165	96.0	-54.089264	0.022481244	-53.299015	-54.09145	88000	0.00021966547	4772.836	0.0	-161.63062	1.3812337	-7.4505807e-10	22.319580078125
22	-164.11795	98.6662	-18.089552	-383.94427	96.19512	-55.939842	0.053677753	-55.068974	-55.94728	92000	-0.003773287	4087.2312	0.0	-86.42554	1.3814908	6.258488e-10	23.295150995254517
23	-174.62347	104.264534	-0.47240132	-423.54184	91.48837	-57.31586	0.037335895	-56.266224	-57.31949	96000	-0.0025076717	4599.553	0.0	-121.42346	1.3813148	1.2814999e-09	24.300112009048462
24	-184.48578	130.63425	48.47246	-502.06772	95.9	-58.926853	0.006659406	-58.79705	-58.92835	100000	0.0005352795	5478.651	0.0	-121.61157	1.38149	2.9802322e-10	25.31863307952881
25	-178.53131	112.45793	51.436573	-520.8071	91.48837	-60.578377	0.0052128485	-60.469234	-60.579556	104000	-0.0006208122	4575.577	0.0	-110.00928	1.3815414	8.9406965e-10	26.323410034179688
26	-198.26762	106.24741	-66.37203	-438.76422	95.31707	-62.17557	0.004235515	-62.08717	-62.17671	108000	-0.0021568676	4917.5684	0.0	-162.05627	1.3813186	-2.3841856e-10	27.348061084747314
27	-153.3568	88.62819	-29.762829	-364.8358	95.12195	-64.11214	0.00483076	-64.01916	-64.11338	112000	-0.000735207	2708.1099	0.0	-31.153442	1.3816166	-8.0466267e-10	28.37897300720215
28	-161.52379	101.696144	-9.103697	-480.93723	91.15	-65.043465	0.0398145	-64.55259	-65.051544	116000	-0.0023315074	4147.4414	0.0	-25.080444	1.3814188	3.5762787e-10	29.475554943084717
29	-195.983	93.073586	-40.07228	-487.6694	94.14634	-65.83861	0.0029380913	-65.74847	-65.83979	120000	-0.0024897903	3451.481	0.0	-126.62573	1.3813063	-1.1920928e-10	30.50317406654358
30	-178.2701	101.12288	-67.75568	-439.6204	89.0	-67.60196	0.00075618975	-67.58916	-67.60294	124000	-0.0006593019	3646.7249	0.0	-111.889404	1.3817804	-6.258488e-10	31.520097970962524
31	-178.95142	99.935616	44.07374	-505.8691	96.7	-69.3427	0.0065521025	-69.19034	-69.34421	128000	-0.0041139573	3522.2495	0.0	-73.34656	1.3817025	-7.1525574e-10	32.521445989608765
32	-180.43619	87.01778	-50.547714	-373.16525	99.0	-70.7835	0.0012543426	-70.75029	-70.784515	132000	-0.00557876	2121.408	0.0	-64.19879	1.3812431	-5.6624416e-10	33.526313066482544
33	-170.51326	97.76552	0.19632597	-399.53284	100.71795	-72.13393	0.05609111	-71.28492	-72.1404	136000	-0.0029282868	2965.0654	0.0	-29.579224	1.3814261	7.1525574e-10	34.55048894882202
34	-161.16418	85.39796	-8.97796	-409.05893	96.25	-73.0824	0.034458064	-71.72629	-73.08505	140000	-0.004467942	2243.5833	0.0	-17.937622	1.3816435	-1.0430813e-09	35.582552909851074
35	-160.51292	99.86071	-35.59361	-470.47598	97.2	-73.83075	0.00805246	-73.63316	-73.83197	144000	-0.0048065633	2780.6567	0.0	-11.944458	1.381849	7.748604e-10	36.59818196296692
36	-174.59665	81.62181	-43.99799	-371.2574	97.15	-74.454605	0.012337252	-73.957214	-74.45609	148000	0.00031773746	1966.6327	0.0	-32.713196	1.3812547	2.1755695e-09	37.63931202888489
37	-184.74524	99.279854	-30.69013	-385.61502	95.63415	-75.46928	0.029608248	-74.68414	-75.47292	152000	-0.002790898	3769.7136	0.0	-68.68689	1.381603	-1.4305115e-09	38.66317415237427
38	-185.93782	116.36455	28.624327	-462.45047	99.17949	-76.97216	0.01754158	-76.61864	-76.974174	156000	-0.004629219	3813.9604	0.0	-42.933838	1.3813537	-2.503395e-09	39.69392704963684
39	-155.60631	92.402084	-35.381165	-398.48877	93.68293	-78.22025	0.016451577	-77.82449	-78.22204	160000	-1.7826445e-05	2564.5728	0.0	-7.336914	1.3814464	1.4901161e-09	40.712687969207764
40	-179.01299	88.514755	-68.13358	-462.8624	96.95122	-78.77874	0.0094126975	-78.62286	-78.780334	164000	-0.0016141087	2664.2124	0.0	-37.496765	1.3814559	-1.9073485e-09	41.765395164489746
41	-160.1731	110.60298	-18.613138	-456.98346	93.097565	-79.92977	0.028240765	-79.45066	-79.932846	168000	-0.0052908957	3581.6519	0.0	-15.778931	1.3811533	-3.5762784e-10	42.8012421131134
42	-165.49765	87.234	-74.100296	-404.54147	100.35897	-80.72714	0.06419028	-79.23306	-80.73484	172000	-0.0041766334	2380.0046	0.0	-6.0820312	1.3813517	-1.1324882e-09	43.82206892967224
43	-185.16214	86.25857	-6.624408	-456.94357	99.46154	-81.23643	0.0100270165	-81.02952	-81.23825	176000	-0.0045431703	2349.949	0.0	-46.324097	1.3805662	3.2782554e-10	44.86069393157959
44	-171.82536	121.475006	8.94953	-509.56027	101.02564	-82.58357	0.025151229	-81.74615	-82.58596	180000	-0.003912464	4334.1367	0.0	-6.755615	1.3808783	2.9802327e-11	45.97823715209961
45	-164.63696	114.55649	12.989181	-569.42554	96.60976	-83.17409	0.0053383657	-83.039116	-83.17497	184000	-0.005366221	3705.4946	0.0	-7.0822754	1.3806291	-9.23872e-10	47.00254201889038
46	-150.54404	98.01072	15.518579	-541.1924	96.875	-83.73712	0.01076715	-83.4921	-83.73852	188000	-0.005231034	2893.9126	0.0	-0.9310303	1.3813039	-2.9802327e-11	48.03127312660217
47	-142.11336	91.80743	22.853981	-483.96524	93.57143	-83.56774	0.0044832844	-83.39493	-83.56857	192000	-0.0056114495	2874.271	0.0	-7.3623047	1.3807058	-2.0861626e-10	49.07574391365051
