Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	21.622952	12.187287	99.0	8.0	21.622952	-0.1915672	0.12530936	0.18980901	-0.54087937	4000	-1.0803342e-07	275.62677	-0.013973766	-152.47878	0.6927557	0.015009956	0.21675	14.0	0.673832893371582
1	27.61111	14.556934	75.0	9.0	27.61111	8.208346	0.15368089	8.396126	6.850378	8000	7.450581e-09	177.82262	-0.014307322	-53.659218	0.6828637	0.0065522143	0.052249998	79.0	1.4698066711425781
2	36.632076	21.340158	147.0	10.0	36.632076	13.56107	0.31686234	13.790946	9.70019	12000	-2.0489097e-08	261.65546	-0.015832558	-51.601414	0.6693015	0.0057331556	0.051749997	79.0	2.289240837097168
3	52.666668	33.074596	128.0	10.0	52.666668	18.24969	1.894895	18.903088	-5.4376993	16000	4.4703484e-08	437.05893	-0.014330944	-88.85767	0.6533565	0.005284275	0.053499997	79.0	3.144357681274414
4	70.113205	38.971043	156.0	15.0	70.113205	24.509512	1.6514853	25.083836	5.2374215	20000	3.7252903e-09	499.00784	-0.013047732	-112.030426	0.6391493	0.005147339	0.04825	79.0	3.9797120094299316
5	113.71875	54.590084	200.0	20.0	113.71875	30.487661	3.0669398	31.643652	-2.1800997	24000	7.450581e-09	760.9617	-0.00882366	-226.49088	0.62331486	0.0031659624	0.0335	79.0	4.789440870285034
6	153.86957	37.44713	200.0	81.0	153.86957	37.960594	5.1212416	40.044266	12.367954	28000	1.1175871e-08	628.9304	-0.0058159586	-204.01086	0.6105268	0.0011692529	0.023500001	79.0	5.612729787826538
7	162.95454	31.561598	200.0	63.0	162.95454	38.3175	13.045864	47.596348	1.2561555	32000	8.381903e-09	416.04324	-0.0038054665	-133.80005	0.60603684	0.0037127242	0.025249999	79.0	6.444301605224609
8	175.18182	32.740906	200.0	84.0	175.18182	47.019764	10.850282	53.109577	6.5330763	36000	4.284084e-08	373.97815	-0.0057257893	-68.70982	0.5992048	0.0048227226	0.04525	79.0	7.303659915924072
9	185.05	30.526176	200.0	96.0	185.05	48.18296	12.071177	57.280834	11.428641	40000	-3.7252903e-09	382.18207	-0.0036233012	-94.202225	0.60140395	0.003509019	0.0195	79.0	8.126070976257324
