Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-186.13359	111.09562	-43.228195	-452.36414	96.14634	0.17231339	0.049481187	0.24134664	-0.030974705	4000	-0.00022727191	13197.788	0.0	-917.5342	1.3826623	7.4505807e-10	2.967203140258789
1	-205.95158	103.02359	-58.9813	-433.00873	97.53658	-4.680202	0.27804947	-0.61505145	-5.2361236	8000	-0.0014585004	13442.768	0.0	-935.3584	1.3825958	7.748604e-10	5.974536895751953
2	-174.02786	105.94829	-3.5108974	-502.70926	100.5641	-9.332401	0.74373984	2.4221432	-9.555296	12000	-0.0004914223	10289.606	0.0	-504.06934	1.3823042	1.758337e-09	9.006304025650024
3	-172.60898	103.2931	26.467295	-445.45557	92.60465	-12.381926	0.11014532	-10.300856	-12.453528	16000	-0.0014293717	9809.884	0.0	-443.24512	1.3822219	1.1920929e-09	12.011338949203491
4	-192.65128	125.79986	13.034204	-457.09064	98.15	-15.162393	0.041792497	-14.505587	-15.204148	20000	6.178903e-05	11660.343	0.0	-478.667	1.3819736	-1.1324882e-09	15.031424045562744
5	-190.93047	112.56154	-31.71846	-437.08765	99.75	-17.993656	0.13915999	-15.5881605	-18.037743	24000	-0.0022337374	10695.947	0.0	-468.58398	1.3816268	2.0861626e-10	18.06415629386902
6	-209.30147	108.43557	-43.140705	-437.0292	99.525	-20.794912	0.0478335	-20.102478	-20.818863	28000	-0.0025471055	10769.35	0.0	-456.71582	1.3814902	1.2814999e-09	21.084113121032715
7	-245.76804	139.79768	26.680185	-594.7226	102.31579	-23.497501	0.5018607	-13.512257	-23.562878	32000	0.00063517847	16020.884	0.0	-645.9785	1.3812672	-8.3446505e-10	24.10667610168457
8	-193.85068	101.27258	-57.76213	-429.1238	99.075	-26.704222	0.018600972	-26.359211	-26.714413	36000	-0.0006487404	8483.508	0.0	-358.9536	1.3810655	-1.4305115e-09	27.13111710548401
9	-165.91527	91.603645	-64.5016	-384.98062	94.71429	-29.140871	0.014958766	-28.705008	-29.149155	40000	0.00018568123	5834.451	0.0	-219.82422	1.3810954	-1.2516975e-09	30.157747983932495
10	-193.38167	112.94998	-2.149532	-504.94073	97.825	-31.066586	0.022137253	-30.695534	-31.075068	44000	-0.0027720216	9074.633	0.0	-325.0127	1.3810927	-2.384186e-10	33.206369161605835
11	-172.4063	110.6867	-23.778427	-450.18573	97.825	-33.376774	0.06633191	-31.744879	-33.386456	48000	0.0009629245	6981.8823	0.0	-227.32324	1.3810939	1.6093255e-09	36.23274898529053
12	-151.31529	102.724205	69.25361	-398.9761	92.62791	-35.370766	0.057011195	-34.708813	-35.38426	52000	1.27427575e-05	5619.789	0.0	-158.91016	1.3807325	1.0728836e-09	39.258708000183105
13	-169.96141	98.90814	-20.47718	-365.6916	96.17073	-37.07736	0.017880611	-36.706856	-37.083202	56000	-0.00045118664	5624.565	0.0	-183.55176	1.3807088	1.4603138e-09	42.275686264038086
14	-188.58228	125.13315	21.356424	-527.792	99.64103	-38.907806	0.016664041	-38.57263	-38.91336	60000	0.001982001	7842.745	0.0	-229.72705	1.3807439	-1.2218953e-09	45.294962882995605
15	-185.84622	112.69092	-46.77052	-474.08984	98.15	-40.981712	0.0023073573	-40.968246	-40.985485	64000	-0.002431817	6137.766	0.0	-237.26416	1.3805171	-5.9604643e-10	48.3169469833374
16	-186.2521	119.5059	-10.315504	-571.83813	98.4	-43.118134	0.041394997	-42.209213	-43.12412	68000	-0.0026782088	6874.54	0.0	-211.7251	1.3805764	1.4305115e-09	51.34307408332825
17	-179.46242	87.00003	-71.32032	-385.4422	102.947365	-45.164852	0.04719943	-43.711742	-45.17105	72000	-0.0022504274	4320.2065	0.0	-180.12012	1.3805146	-1.4901161e-10	54.359660148620605
