step,loss_function,target_value,elapsed_time
15200,1.11043e-02,2.44158e+00,405
15300,2.17138e-02,2.45775e+00,407
15400,1.80801e-02,2.46399e+00,410
15500,9.87147e-03,2.47542e+00,412
15600,9.80122e-03,2.49361e+00,415
15700,1.14379e-02,2.50074e+00,418
15800,1.17352e-02,2.51026e+00,420
15900,1.21621e-02,2.52068e+00,423
16000,1.26793e-02,2.53096e+00,425
16100,9.66456e-03,2.53933e+00,428
16200,2.24942e-02,2.55593e+00,430
16300,2.54491e-02,2.56729e+00,433
16400,1.35909e-02,2.57123e+00,436
16500,1.37598e-02,2.58321e+00,438
16600,1.29751e-02,2.59448e+00,441
16700,1.22476e-02,2.60633e+00,443
16800,2.41614e-02,2.61825e+00,446
16900,1.03366e-02,2.62488e+00,448
17000,9.49998e-03,2.63671e+00,451
17100,1.46590e-02,2.65351e+00,454
17200,1.75656e-02,2.66736e+00,456
17300,1.28319e-02,2.67957e+00,459
17400,9.59164e-03,2.69026e+00,461
17500,1.36006e-02,2.70145e+00,464
17600,1.02605e-02,2.71050e+00,467
17700,1.07991e-02,2.72128e+00,469
17800,1.15047e-02,2.73175e+00,472
17900,1.34477e-02,2.74853e+00,474
18000,1.00207e-02,2.75954e+00,477
18100,1.50942e-02,2.77563e+00,479
18200,8.77770e-03,2.77911e+00,482
18300,1.14632e-02,2.79286e+00,485
18400,9.06253e-03,2.80343e+00,487
18500,1.23616e-02,2.82388e+00,490
18600,3.15514e-02,2.84324e+00,492
18700,1.21328e-02,2.85049e+00,495
18800,1.07953e-02,2.85877e+00,497
18900,1.12023e-02,2.86904e+00,500
19000,7.76274e-03,2.87332e+00,503
19100,8.06172e-03,2.88291e+00,505
19200,9.10286e-03,2.89365e+00,508
19300,1.05359e-02,2.90329e+00,510
19400,9.52696e-03,2.90798e+00,513
19500,9.35640e-03,2.91983e+00,515
19600,1.06953e-02,2.93126e+00,518
19700,9.01814e-03,2.94289e+00,521
19800,1.53595e-02,2.95526e+00,523
19900,8.68540e-03,2.96603e+00,526
20000,1.13532e-02,2.97651e+00,528
20100,1.16761e-02,2.98591e+00,531
20200,7.67445e-03,2.99039e+00,533
20300,9.14788e-03,2.99675e+00,536
20400,1.00822e-02,3.01378e+00,539
20500,1.31157e-02,3.02883e+00,541
20600,8.82071e-03,3.02831e+00,544
20700,1.22250e-02,3.04025e+00,546
20800,1.37311e-02,3.05438e+00,549
20900,7.93571e-03,3.05330e+00,551
21000,9.36223e-03,3.06225e+00,554
21100,1.79851e-02,3.07279e+00,557
21200,8.39772e-03,3.07794e+00,559
21300,7.56575e-03,3.08433e+00,562
21400,1.01059e-02,3.10117e+00,564
21500,8.82444e-03,3.09697e+00,567
21600,8.03458e-03,3.10109e+00,569
21700,1.41755e-02,3.11597e+00,572
21800,8.96115e-03,3.12240e+00,575
21900,9.86163e-03,3.13375e+00,577
22000,8.49381e-03,3.13952e+00,580
22100,7.80497e-03,3.14842e+00,582
22200,1.32185e-02,3.15966e+00,585
22300,7.99707e-03,3.16390e+00,588
22400,7.08954e-03,3.16181e+00,590
22500,7.09265e-03,3.16605e+00,593
22600,6.41003e-03,3.16934e+00,595
22700,7.29620e-03,3.18227e+00,598
22800,9.17897e-03,3.18917e+00,600
22900,6.86821e-03,3.18407e+00,603
23000,6.66314e-03,3.20446e+00,606
23100,7.59357e-03,3.19786e+00,608
23200,8.41556e-03,3.20626e+00,611
23300,8.38216e-03,3.21432e+00,613
23400,8.18274e-03,3.21135e+00,616
23500,8.80797e-03,3.22487e+00,619
23600,7.54416e-03,3.22746e+00,621
23700,8.23680e-03,3.23830e+00,624
23800,9.79148e-03,3.23617e+00,626
23900,7.06193e-03,3.24456e+00,629
24000,1.00820e-02,3.25249e+00,632
24100,7.52829e-03,3.25961e+00,634
24200,7.60394e-03,3.25190e+00,637
24300,8.75450e-03,3.26498e+00,639
24400,7.30767e-03,3.26553e+00,642
24500,8.61763e-03,3.27971e+00,645
24600,7.50021e-03,3.27575e+00,647
24700,9.01941e-03,3.27933e+00,650
24800,1.30182e-02,3.28040e+00,652
