Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-243.88896	102.39138	-10.875974	-437.3256	84.95652	-0.08544954	0.031517573	0.06886174	-0.15561068	4000	0.015434861	21010.648	0.0	-1097.3154	1.3501168	1.7881394e-10	1.0021858215332031
1	-214.97174	122.86419	36.676857	-465.58435	86.17778	-4.2709136	0.40655208	1.6923368	-4.658627	8000	0.011860174	17724.023	0.0	-844.2656	1.3519323	-4.768372e-10	2.0360448360443115
2	-273.22107	150.6009	33.02385	-609.5488	87.5	-8.184482	0.09189307	-6.8099613	-8.290125	12000	0.01475393	26432.977	0.0	-963.79297	1.3517332	2.2351743e-09	3.141800880432129
3	-263.7147	131.2922	-66.45302	-567.37915	94.07317	-11.715315	0.07837881	-9.844351	-11.770578	16000	0.02103789	20798.762	0.0	-721.6035	1.3532243	5.960463e-11	4.4249489307403564
4	-248.40681	129.27643	-49.498158	-527.8206	85.4	-14.67152	0.18609352	-7.2229576	-14.708812	20000	0.012166565	19467.703	0.0	-667.5498	1.3542321	0.0	5.578825950622559
5	-215.11552	110.36527	-75.18154	-470.03323	86.195656	-17.457762	0.18232355	-11.957289	-17.492146	24000	0.012203458	14271.5625	0.0	-496.7666	1.3558817	1.6093255e-09	6.874222755432129
6	-222.67622	103.843864	-47.517006	-493.68213	88.40909	-19.901129	0.01073443	-19.800829	-19.916557	28000	0.01133373	13811.318	0.0	-488.1665	1.3570976	2.4139881e-09	8.355746746063232
7	-190.42389	117.826004	34.95197	-588.2135	82.14893	-22.313156	0.02059086	-21.773403	-22.328602	32000	0.013100879	11358.25	0.0	-333.4121	1.3579607	1.4007091e-09	9.800680875778198
8	-212.97691	110.19088	-73.90189	-514.23883	88.09091	-24.362507	0.028220152	-23.260853	-24.374802	36000	0.013358019	12366.15	0.0	-410.56396	1.3587949	8.0466267e-10	10.963076829910278
9	-202.89914	124.001434	-53.258442	-559.221	86.71795	-26.588688	0.20342477	-24.24646	-26.636467	40000	0.00884461	10833.975	0.0	-237.41553	1.3611676	-2.4139881e-09	12.207940816879272
10	-196.66074	115.61347	-3.664388	-459.31693	88.02273	-28.41734	0.028673803	-27.736816	-28.428463	44000	0.009633604	10743.961	0.0	-331.93848	1.360147	-4.4703485e-10	13.291480779647827
11	-213.3432	108.17069	21.61013	-440.72568	88.97727	-30.51419	0.030716155	-29.621912	-30.52341	48000	0.011115674	11058.105	0.0	-388.0459	1.3613976	1.7881396e-10	14.278213739395142
12	-228.46475	117.42752	-22.634747	-589.9783	84.41304	-32.81757	0.006290098	-32.598164	-32.8238	52000	0.013129108	12728.464	0.0	-436.70264	1.3621874	1.6689301e-09	15.292959928512573
13	-221.55727	109.41043	-58.63578	-479.98697	89.72727	-35.142086	2.0292292	6.4809847	-35.27984	56000	0.0048185885	11039.627	0.0	-441.85742	1.3628744	5.364418e-10	16.383076906204224
14	-225.79076	125.96973	14.176044	-494.9602	87.13333	-37.668236	0.027691422	-36.960697	-37.675213	60000	0.0024430454	12932.887	0.0	-414.69727	1.3639872	-8.940698e-11	17.50089383125305
15	-189.87727	112.87266	-14.811984	-558.89417	90.76744	-40.080128	0.214392	-32.58519	-40.096245	64000	0.0023390502	8094.0957	0.0	-224.08154	1.3645275	-1.1324883e-09	18.50330877304077
16	-181.03777	95.75031	-56.630234	-490.36282	87.52381	-41.92802	0.027313162	-41.34842	-41.93351	68000	0.004108712	6397.7754	0.0	-146.25293	1.3652961	-1.3113022e-09	19.577581882476807
17	-196.7103	117.2887	-14.701106	-473.40515	87.61364	-43.43	0.0076076747	-43.19355	-43.43308	72000	0.0031905025	8109.745	0.0	-235.40015	1.3655207	8.940697e-11	20.553776741027832
18	-200.76697	101.3327	-23.847076	-386.903	87.55556	-45.313835	0.019811	-44.772655	-45.317436	76000	0.007955357	7506.297	0.0	-249.50049	1.3671911	2.384186e-10	21.581759929656982
19	-220.14984	104.05382	-60.072083	-424.87506	91.023254	-47.281666	0.30254337	-40.288414	-47.303543	80000	0.004708538	8592.348	0.0	-323.0647	1.3667521	-1.7881394e-10	22.615282773971558
20	-206.06932	116.02649	-58.331406	-549.73773	91.04651	-49.55264	0.0065785595	-49.333397	-49.555077	84000	0.0015054643	6957.847	0.0	-230.91296	1.3671447	-8.940698e-11	23.605706930160522
21	-193.79979	117.879906	-6.6575947	-555.60455	90.48837	-51.517475	0.031157997	-51.060585	-51.522194	88000	0.0071901977	6843.801	0.0	-187.48633	1.3677993	1.192092e-10	24.59835696220398
22	-192.35834	98.89549	-67.38892	-466.6164	87.977776	-53.304695	0.02242874	-52.798027	-53.308315	92000	0.004975058	5682.193	0.0	-192.56812	1.3682232	-6.556511e-10	25.577516794204712
23	-190.8595	125.406555	-10.792975	-475.21988	94.80488	-55.120663	0.06923699	-53.218636	-55.12987	96000	0.0011607762	6965.7627	0.0	-155.06079	1.3688884	-1.3411046e-09	26.5816068649292
24	-178.993	84.424835	1.6625628	-410.83502	88.0	-56.795837	0.014616791	-56.30738	-56.797832	100000	0.005051121	3892.3115	0.0	-128.13135	1.3695889	9.834766e-10	27.58537983894348
25	-181.987	101.431885	2.8867278	-445.4361	88.31111	-58.33468	0.010454699	-58.11799	-58.337067	104000	0.0019977093	5119.7314	0.0	-118.88721	1.3698623	5.6624416e-10	28.59314775466919
26	-188.03741	104.442604	28.186554	-469.8521	88.77273	-59.836357	0.0038475397	-59.773968	-59.83763	108000	0.0046647415	5400.0557	0.0	-144.16418	1.370029	-7.1525574e-10	29.575440883636475
27	-171.88902	91.99354	-66.73704	-463.26077	89.0	-61.50115	0.010383675	-61.0597	-61.502766	112000	-0.0013648942	3806.3044	0.0	-94.0177	1.3699975	-1.3113022e-09	30.557246923446655
28	-163.38121	111.14446	-6.591068	-584.9733	87.59091	-62.893036	0.006072833	-62.739017	-62.894283	116000	0.0027296338	4600.8354	0.0	-66.27527	1.3707918	-1.7881394e-09	31.526256799697876
29	-190.24521	111.262764	-16.763506	-440.33524	88.045456	-64.07747	0.0029382934	-63.990585	-64.07856	120000	0.0029612593	5679.223	0.0	-144.36206	1.3711059	6.258488e-10	32.494385957717896
30	-191.28795	116.493324	36.24633	-503.12476	96.60976	-65.79939	0.024177536	-65.18019	-65.80201	124000	0.0045475513	5206.798	0.0	-105.5542	1.371093	1.5795231e-09	33.4952347278595
31	-180.51755	99.06644	-29.698557	-404.1889	88.77273	-67.33774	0.021473	-66.71301	-67.339966	128000	-0.0006035492	4041.0073	0.0	-83.705444	1.3723989	-5.960465e-11	34.47680377960205
32	-162.94016	95.5381	-58.842823	-427.67596	86.71111	-68.72388	0.002985168	-68.65267	-68.724815	132000	0.0005323291	3001.4854	0.0	-48.330933	1.3727808	-1.758337e-09	35.453537940979004
33	-194.23792	103.05267	-62.67156	-458.87967	91.093025	-69.80705	0.0014160519	-69.75552	-69.80786	136000	0.0014348645	4091.977	0.0	-102.47766	1.3723328	-3.5762787e-10	36.43386387825012
34	-164.2399	84.514175	28.351564	-455.86343	91.023254	-71.35204	0.004471221	-71.24121	-71.353195	140000	0.005518006	2268.2815	0.0	-28.542847	1.3726511	1.4305115e-09	37.41412305831909
35	-154.97908	101.31571	9.897017	-428.04086	83.46809	-72.242905	0.0020268026	-72.1781	-72.24381	144000	0.003441684	3521.333	0.0	-28.12378	1.3737359	-3.2782554e-10	38.41037082672119
36	-168.68654	113.30622	20.42763	-482.5239	97.65	-73.0502	0.707363	-52.433014	-73.09635	148000	0.0041836947	4208.953	0.0	-43.444702	1.3735728	9.834766e-10	39.39996385574341
37	-146.71283	107.280106	25.442877	-557.902	89.045456	-74.038345	0.019622488	-73.3226	-74.040306	152000	-0.0003285706	3859.017	0.0	-6.451172	1.3745706	-1.0728836e-09	40.381388664245605
38	-182.24034	112.16108	13.948841	-527.2684	93.87805	-74.482735	0.010359822	-74.23376	-74.48436	156000	0.0020308942	4376.191	0.0	-55.687378	1.3741744	1.2516975e-09	41.36983299255371
39	-173.68018	112.19754	-1.6734862	-480.6712	91.53488	-75.704506	0.013423157	-75.48101	-75.7065	160000	0.001187399	4491.6855	0.0	-49.63208	1.3738823	5.066395e-10	42.36962366104126
40	-175.03831	81.51162	-14.6572895	-395.34946	89.90909	-76.932755	0.00860136	-76.82025	-76.9341	164000	-0.0018564113	2346.478	0.0	-45.66754	1.3741586	5.662441e-10	43.37891674041748
41	-180.75604	97.00091	-69.76823	-427.07367	94.36585	-78.1255	0.0021820008	-78.05574	-78.12602	168000	-0.0012423694	3068.4316	0.0	-50.61267	1.373785	-7.4505807e-10	44.38389873504639
42	-168.92703	102.60184	-63.70347	-527.33923	92.71429	-79.39574	0.0008903945	-79.36978	-79.39617	172000	-0.0028576404	2987.8447	0.0	-25.264832	1.3739147	-3.8743017e-10	45.369117975234985
43	-143.67001	106.23522	28.330023	-436.46564	90.83721	-80.33273	0.005461262	-80.22657	-80.33373	176000	0.0018614754	4221.103	0.0	0.03479004	1.3743972	1.1920929e-09	46.36659097671509
44	-168.48436	109.924065	42.044563	-378.29895	92.16279	-80.35144	0.017374437	-79.83357	-80.352974	180000	-0.0042365934	3634.3262	0.0	-20.693115	1.373976	1.192092e-10	47.36738467216492
45	-172.91928	92.16378	6.6764407	-439.92844	94.65854	-81.16143	0.0054089786	-80.96272	-81.162056	184000	-0.0013003275	2535.1877	0.0	-31.234192	1.3737981	8.34465e-10	48.36798071861267
46	-152.27264	84.15151	-12.847288	-403.5584	88.88636	-82.23108	0.0019803292	-82.15875	-82.23153	188000	-0.0017980082	1981.2902	0.0	-3.4630127	1.3757726	1.4305115e-09	49.35663890838623
47	-151.02396	69.89127	3.8135161	-366.62842	86.71111	-82.640015	0.0013974847	-82.60049	-82.64046	192000	-0.0016850121	1605.9352	0.0	-2.9691162	1.3753364	-1.0430813e-09	50.34130382537842
48	-149.42574	98.0211	-2.0301373	-454.59064	93.80488	-82.98418	0.0021952682	-82.954185	-82.984764	196000	0.00078367814	3240.0535	0.0	-1.1481323	1.3752185	-1.2218953e-09	51.32749891281128
49	-155.59196	74.158585	-26.62138	-381.4728	91.47619	-82.7942	0.022540133	-82.16557	-82.79568	200000	-0.005510628	1412.7457	0.0	-2.309021	1.3748648	-1.7881394e-10	52.29628396034241
50	-159.83003	93.350426	26.107304	-487.78757	90.88095	-83.07561	0.0016486403	-83.01593	-83.07605	204000	0.0015483517	2801.2036	0.0	-5.444214	1.3755741	-1.8179417e-09	53.28265881538391
51	-157.27583	101.08739	-25.837143	-568.76086	88.454544	-83.56434	0.0028815698	-83.46356	-83.56483	208000	-0.0010862052	3277.553	0.0	-7.7125244	1.3748783	-1.8775463e-09	54.252808809280396
52	-140.20894	84.68966	-2.6087685	-386.5868	88.31111	-84.159515	0.032178845	-83.5937	-84.1624	212000	-0.0060149776	2151.5369	0.0	-6.4726562	1.3754361	0.0	55.245176792144775
53	-159.51752	93.6359	-53.78854	-468.92722	89.65909	-83.66819	0.0014310385	-83.62146	-83.66853	216000	-0.005114764	2594.7458	0.0	-4.878113	1.3750515	-2.4139881e-09	56.24863004684448
54	-118.58467	81.73683	32.61244	-336.797	86.888885	-84.10692	0.005652988	-84.00151	-84.10788	220000	-0.0031003319	3237.808	0.0	-59.289307	1.3754961	1.7881392e-10	57.25683879852295
55	-136.42615	59.403465	-52.21858	-324.68137	91.37209	-82.470604	0.0003879201	-82.451996	-82.47086	224000	-0.006131865	1176.5066	0.0	-13.590759	1.3753593	-1.1920928e-10	58.25457787513733
56	-141.79642	72.88834	24.28494	-376.17218	86.333336	-81.55391	0.012938984	-81.04006	-81.554955	228000	-0.00915879	1838.1233	0.0	-0.26922607	1.3750734	-5.6624416e-10	59.25602889060974
57	-140.94312	68.35943	-42.554436	-389.3322	92.92857	-81.42778	0.00088749203	-81.39542	-81.42804	232000	-0.008532941	1476.6458	0.0	-4.362549	1.3749422	2.592802e-09	60.252671003341675
58	-144.53928	67.710625	-42.865696	-316.67722	91.54762	-80.94812	0.0023304399	-80.86087	-80.94848	236000	-0.0016274787	1341.7137	0.0	-0.0026245117	1.3760772	-2.0861626e-09	61.23175382614136
59	-124.87214	71.34647	14.208441	-363.4847	89.84091	-80.89187	0.00096458744	-80.8679	-80.892136	240000	-0.0077461973	1959.5284	0.0	-25.587006	1.3749523	-8.9406954e-11	62.220871925354004
60	-139.58838	87.30601	14.755038	-381.92352	96.625	-79.691635	0.0031173264	-79.61351	-79.69212	244000	-0.0059920996	2640.1213	0.0	-6.5601807	1.3751683	-2.2351743e-09	63.26773405075073
61	-135.83467	78.928566	10.806352	-382.41434	91.37209	-79.00021	0.0020857933	-78.95722	-79.00063	248000	-0.004998019	2132.361	0.0	-0.41687012	1.375077	-1.0430813e-09	64.26603388786316
62	-144.3555	86.89328	-6.1505427	-361.23895	92.309525	-78.80806	0.0023145925	-78.770096	-78.80852	252000	-0.0015370473	2400.3672	0.0	-0.6324463	1.3759489	-1.2218953e-09	65.25936388969421
63	-142.97218	77.87478	-33.23337	-411.6376	90.045456	-79.00061	0.00018928491	-78.997025	-79.00081	256000	-0.0072399825	1739.3116	0.0	-0.012573242	1.3756431	1.9669533e-09	66.33152794837952
64	-144.72127	81.977165	-46.030087	-425.56882	95.48781	-78.98065	0.00510639	-78.80413	-78.98114	260000	-0.005247034	1973.2544	0.0	-0.12841797	1.3747196	2.9802322e-10	67.32615089416504
65	-147.81306	79.8427	-42.78282	-421.20493	91.76744	-78.91057	0.007744727	-78.43065	-78.91093	264000	-0.007679656	1825.6797	0.0	-2.7227783	1.3753779	1.7881394e-09	68.3868727684021
66	-165.78545	86.30392	-59.61195	-362.26492	95.85	-79.345566	0.029835118	-78.80355	-79.34773	268000	-0.005992938	2481.417	0.0	-13.966553	1.372598	-4.470348e-10	69.38548302650452
67	-134.04459	76.26233	-46.133778	-469.8481	90.5814	-80.379105	0.00018651404	-80.37157	-80.37925	272000	-0.00493907	1631.7317	0.0	-1.2350464	1.3752384	7.3015693e-10	70.36274099349976
68	-142.44754	90.380135	-6.511996	-350.3814	86.64445	-80.121025	0.000111999216	-80.11992	-80.12116	276000	-0.00993463	2000.4604	0.0	-3.7861938	1.3741126	9.0897084e-10	71.34334897994995
69	-115.71942	48.529987	11.965473	-238.67288	93.38095	-80.64911	0.006954766	-80.533844	-80.64984	280000	-0.005336158	1268.1617	0.0	-73.44913	1.3756126	1.7881396e-10	72.33708381652832
70	-113.61341	49.8065	8.388359	-227.92128	92.71429	-78.2454	0.00013744795	-78.24224	-78.24555	284000	-0.008633688	996.297	0.0	-51.36029	1.3746521	-1.2069941e-09	73.3525869846344
71	-121.64926	69.56994	17.04145	-379.47705	89.045456	-76.061424	0.0019029004	-76.02479	-76.06173	288000	-0.0031927675	1738.8167	0.0	-13.5529785	1.373351	4.470349e-11	74.34422588348389
72	-137.90152	75.61665	-5.1257052	-361.20215	89.431816	-74.889	0.00089749094	-74.85217	-74.88919	292000	-0.006249495	1818.9084	0.0	-1.1936951	1.3733292	2.9802313e-11	75.36211585998535
73	-136.5932	99.16336	0.5909296	-586.673	99.30769	-75.162415	0.005575229	-75.08438	-75.16322	296000	-0.00574106	2961.9517	0.0	-0.8942261	1.3730774	-8.940697e-10	76.38494896888733
74	-163.2214	88.776726	-30.925226	-436.67197	94.2381	-74.90237	0.0010555619	-74.866875	-74.90256	300000	-0.010060716	2464.896	0.0	-55.142456	1.3722672	-3.874302e-10	77.50010871887207
75	-145.71669	69.5664	-39.696617	-314.97757	94.02381	-77.13607	0.00014832012	-77.13309	-77.13621	304000	-0.005870387	1275.8	0.0	-3.760498	1.3727958	-3.5762787e-10	78.58825397491455
76	-150.1915	69.77172	-50.59277	-336.76532	95.875	-77.86584	0.0062574428	-77.70334	-77.86632	308000	-0.008822195	1390.4225	0.0	-1.6137695	1.3719412	1.1622906e-09	79.61823987960815
77	-132.80148	51.31618	-64.63914	-280.45367	99.07692	-78.287315	0.0012692101	-78.25176	-78.28753	312000	-0.008505296	883.2125	0.0	-14.346588	1.3723788	-6.556511e-10	80.6319899559021
78	-145.8818	82.63563	-12.342111	-345.13406	100.30769	-77.10137	0.0045414087	-76.98207	-77.10186	316000	-0.0042105466	2259.5952	0.0	-0.024536133	1.3722589	1.4901191e-11	81.7987756729126
79	-137.93686	67.60279	42.22364	-308.9649	100.84615	-77.118484	0.005277176	-77.023026	-77.11917	320000	-0.0050876588	1785.7694	0.0	-4.0961304	1.3720405	1.1920929e-09	83.09161591529846
80	-120.9202	69.97711	17.292406	-363.23758	91.83721	-76.460175	0.0016483512	-76.42729	-76.460396	324000	-0.0032448452	1666.4155	0.0	-15.228821	1.3726377	7.1525574e-10	84.18350172042847
81	-125.81993	73.32811	7.8113856	-432.93274	93.95122	-75.11387	0.0011980892	-75.095245	-75.114075	328000	-0.0055932067	1967.9762	0.0	-12.577484	1.3724532	-1.117587e-09	85.28571701049805
82	-145.70605	93.05727	19.142189	-530.6118	96.675	-73.83716	0.00018194242	-73.83253	-73.83727	332000	-0.008224476	2600.9248	0.0	-13.268066	1.3701622	8.940698e-11	86.30965185165405
83	-138.98611	79.851204	-1.3397665	-346.38602	94.35714	-75.03992	0.0012747986	-75.00966	-75.04012	336000	-0.0031222254	1886.9108	0.0	-1.215271	1.3713715	1.7881396e-10	87.32387089729309
84	-142.75395	88.75964	-9.904016	-454.84766	95.268295	-75.50228	0.0017392305	-75.464615	-75.502594	340000	-0.007177705	2510.02	0.0	-9.338013	1.3709955	-1.7136335e-09	88.33816504478455
85	-140.1611	82.804344	35.201954	-349.40967	96.625	-76.6125	0.0015597105	-76.57993	-76.6127	344000	-0.0115669	1897.7773	0.0	-2.4849854	1.3708907	-2.2798776e-09	89.37683892250061
86	-127.86466	60.762318	-24.210138	-367.63672	94.53658	-77.24433	0.00040786105	-77.228424	-77.244415	348000	-0.004547164	1327.8875	0.0	-24.862915	1.3719885	4.1723247e-10	90.40106177330017
87	-133.2618	68.75965	-2.353692	-376.47815	97.02439	-75.42806	0.00036220712	-75.42171	-75.42817	352000	-0.014293477	1555.9824	0.0	-5.298828	1.3703178	-1.296401e-09	91.40778279304504
88	-153.65755	89.95586	-45.253693	-469.3787	92.809525	-74.46703	0.0008804155	-74.45546	-74.4672	356000	-0.005361881	2584.4424	0.0	-51.136658	1.3693386	-1.385808e-09	92.43625688552856
89	-114.59575	63.2467	10.0594	-289.8653	89.74419	-77.11638	0.00079195795	-77.08448	-77.11651	360000	-0.0035176873	1576.9329	0.0	-38.806885	1.3711293	-2.5629996e-09	93.465167760849
90	-119.502174	68.05692	-3.3382947	-381.08157	97.225	-74.914986	0.0016709355	-74.87689	-74.915184	364000	-0.0057717934	1857.6218	0.0	-57.37445	1.3700752	2.503395e-09	94.48395895957947
91	-139.92825	83.05656	-13.250917	-334.87646	97.55	-71.96794	0.0012322634	-71.93453	-71.9681	368000	-0.0061906483	2050.7598	0.0	-12.055786	1.3681271	-2.3990872e-09	95.51745986938477
92	-142.46686	95.969505	-42.93623	-517.2225	91.48837	-73.14462	0.000334381	-73.13715	-73.14472	372000	-0.012591494	2913.0298	0.0	-25.27893	1.3676276	-8.3446505e-10	96.54893898963928
93	-136.35785	84.06026	25.778776	-326.86407	97.275	-75.12154	0.0020892785	-75.05868	-75.121765	376000	-0.007714677	2197.692	0.0	-0.9046631	1.3667552	-5.2154064e-10	97.60628199577332
94	-155.52382	85.02805	-4.7139764	-417.47064	101.63158	-75.58598	0.0013443239	-75.5487	-75.58618	380000	0.00029398175	2507.166	0.0	-52.24829	1.3689097	3.72529e-10	98.62878584861755
95	-137.85245	87.82748	-30.408575	-425.17935	99.275	-78.38412	0.0007352953	-78.36951	-78.38425	384000	0.000980001	2875.0256	0.0	-0.5924072	1.3675511	4.768371e-10	99.64880681037903
96	-108.49756	42.802574	-44.4389	-205.3401	95.725	-78.18895	0.00035733514	-78.17868	-78.18902	388000	-0.009027658	1227.5356	0.0	-141.7457	1.368739	8.642673e-10	100.73811101913452
