Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	39.249363	27.734182	79.752846	1.4561579	1000.0	-32.146465	0.14062868	-30.91568	-32.177994	112000	9.059906e-09	1194.5297	-0.007652277	-25.686523	1.0615181	0.008460348	0.10075	79.0	208.99235701560974
28	32.90853	66.75636	109.40283	-74.29637	887.5	-31.310383	0.023647798	-31.162313	-31.32177	116000	1.45435335e-08	1958.0455	-0.0056656674	-23.857544	1.1298846	0.006291622	0.04375	79.0	217.95963716506958
29	-92.15777	82.82393	24.358574	-192.15224	641.6667	-30.415606	0.028286302	-29.796194	-30.426859	120000	8.404255e-09	5331.091	-0.0075796517	-170.13135	1.0769442	0.01071872	0.08975	79.0	226.47781109809875
30	-39.491425	95.288734	136.03699	-151.35535	566.4286	-32.635475	0.017397603	-32.350307	-32.643	124000	1.2397766e-08	4500.5146	-0.008210879	-0.22802734	1.024866	0.007116312	0.07125	79.0	236.12593483924866
31	-44.11353	125.61907	154.73758	-164.96281	635.0	-32.93679	0.04445386	-31.795807	-32.94587	128000	5.3644182e-09	6390.159	-0.010696123	-3.4487305	1.0179754	0.00559686	0.11025	79.0	248.78567099571228
32	-42.193443	65.80238	41.9536	-119.1776	767.75	-33.181602	0.04289991	-32.69278	-33.19851	132000	0.0	1765.1725	-0.006545147	-3.800171	1.0167477	0.0047449186	0.048	79.0	259.1769149303436
33	-71.64338	83.97782	81.584885	-163.25308	735.6	-33.555565	0.024563095	-33.355244	-33.569614	136000	-4.053116e-09	2659.0203	-0.005199498	-107.846924	1.0370063	0.0069177058	0.059	79.0	268.5633189678192
34	-74.13861	63.2336	85.28361	-130.36754	491.5	-35.51412	0.015065585	-35.243507	-35.521515	140000	8.8214875e-09	5494.5957	-0.0044022645	-144.68457	1.0297253	0.0065315235	0.0725	79.0	277.56290912628174
35	-69.350845	58.2593	33.438892	-127.36641	736.0	-37.880733	0.021472184	-37.613968	-37.890347	144000	9.775162e-09	2305.075	-0.009519735	-51.628662	1.057801	0.0077231447	0.08175	79.0	288.0059390068054
36	62.602814	28.880491	105.80259	24.699108	865.5	-39.37368	0.010893869	-39.253742	-39.378445	148000	3.0994416e-09	4489.286	-0.006433278	-242.8628	0.99987775	0.012600341	0.1065	79.0	300.51128792762756
37	11.501848	64.23143	80.88304	-92.98058	892.75	-36.49957	0.0125549715	-36.39651	-36.50552	152000	6.9141386e-09	1059.5723	-0.007891307	-40.70508	1.0901345	0.007247625	0.14175	79.0	311.3620219230652
38	23.827927	48.004467	63.172688	-56.01876	893.5	-35.09903	0.010714836	-34.957607	-35.105026	156000	-1.0848045e-08	1488.4222	-0.009326043	-27.157104	1.0623977	0.009802466	0.111	79.0	319.95805406570435
39	92.24049	38.833157	145.78305	36.75662	964.5	-34.02959	0.011240509	-33.911613	-34.03515	160000	-2.193451e-08	4183.2134	-0.011697783	-366.77686	1.0526145	0.007897011	0.14725	79.0	328.6113669872284
40	6.0902133	70.28849	72.24923	-106.26575	792.0	-30.309427	0.012492029	-30.20278	-30.316483	164000	-9.775162e-09	1622.2438	-0.0056991456	-114.418335	1.0488157	0.00768061	0.071	79.0	338.5574290752411
41	30.302872	13.527749	47.354507	11.583556	1000.0	-28.057907	0.019757273	-27.823755	-28.067038	168000	1.7881393e-09	981.6129	-0.008367131	-84.29596	1.0441433	0.011741041	0.12975	79.0	349.17474603652954
42	-0.6892195	60.96788	66.54885	-75.52529	833.5	-26.184826	0.01641869	-26.040417	-26.195892	172000	-1.5735626e-08	1156.9515	-0.008300347	-4.234375	1.0156965	0.012206717	0.09825	79.0	359.05930495262146
43	65.56552	22.684416	91.068085	29.710049	1000.0	-25.672928	0.019141644	-25.47929	-25.68428	176000	-3.5762786e-09	1295.1836	-0.0070033125	-94.69006	1.0092275	0.0040664235	0.05675	79.0	371.7560729980469
44	51.572388	78.01609	146.94244	-70.468605	793.25	-23.732199	0.01917532	-23.551628	-23.745455	180000	1.013279e-08	2690.405	-0.0046230555	-220.13818	0.93303895	0.0064518033	0.0395	79.0	381.62187099456787
45	-8.662434	84.3674	76.38547	-146.82259	979.0	-20.690506	0.02918171	-20.543055	-20.713057	184000	7.987023e-09	2500.5679	-0.010320037	-1.234375	0.9511981	0.013873827	0.13275	79.0	391.4665307998657
46	-15.316849	92.80827	128.6281	-146.16302	762.8	-20.783684	0.037487272	-20.528433	-20.810452	188000	-1.1563301e-08	4671.0786	-0.005261706	-11.5703125	0.951105	0.006282393	0.04775	79.0	400.03837490081787
47	68.82962	42.536263	139.30727	32.775852	967.0	-21.46988	0.02034764	-21.293737	-21.482576	192000	-1.9311905e-08	2643.0764	-0.004697773	-220.78174	0.96795833	0.006227271	0.037	79.0	412.35629391670227
48	-32.07485	74.37766	55.732582	-139.41853	924.0	-18.489845	0.03591523	-18.170687	-18.513536	196000	-8.34465e-09	2727.373	-0.0080154585	-48.395996	0.89751405	0.005308871	0.0675	79.0	422.3595128059387
49	-26.093277	42.833935	19.20327	-77.283714	818.25	-19.727253	0.020819668	-19.57814	-19.741213	200000	9.23872e-10	592.7797	-0.007912473	-14.69989	0.98076093	0.011302896	0.10425	79.0	432.16517305374146
