Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	19.75	9.775352	56.0	9.0	19.75	0.32620415	0.15814944	0.5723147	-0.12144111	4000	-2.6077032e-08	196.50247	-0.014206843	-21.513054	0.6873567	0.0071355584	0.1575	79.0	0.6798000335693359
1	25.10828	13.745911	73.0	9.0	25.10828	1.3402456	0.16740595	1.5847378	0.6031116	8000	1.0430813e-07	292.11227	-0.0156941	-40.46294	0.6925881	0.0057610935	0.1075	79.0	1.4452147483825684
2	27.069445	15.233667	76.0	10.0	27.069445	2.9579384	0.1766361	3.4889607	2.2086186	12000	-2.3283064e-08	297.02148	-0.013103751	-52.563305	0.68301594	0.0073442333	0.05725	79.0	2.0745368003845215
3	36.885715	22.340788	126.0	13.0	36.885715	5.201552	0.5060936	7.1315804	2.506286	16000	-1.4156103e-07	479.3039	-0.01206274	-92.10307	0.66949046	0.0046941196	0.045	79.0	2.619513988494873
4	47.962963	27.98476	143.0	9.0	47.962963	8.315255	1.4963266	12.348061	0.49435696	20000	7.450581e-09	581.5083	-0.01014838	-116.094864	0.6560272	0.0019370278	0.01825	79.0	3.175971031188965
5	59.650795	32.815094	171.0	11.0	59.650795	11.989959	1.7516135	15.9228735	0.24366945	24000	5.9604645e-08	670.5217	-0.012380872	-128.11386	0.64244896	0.0023360772	0.030000001	79.0	3.727985143661499
6	65.947365	42.379414	200.0	17.0	65.947365	15.28242	2.45354	20.9341	0.5976598	28000	-9.033829e-08	788.82	-0.013855437	-150.50293	0.62890023	0.006162345	0.0445	79.0	4.26915979385376
7	113.117645	57.196136	200.0	26.0	113.117645	19.739292	0.7566977	21.23471	14.996396	32000	-2.9802322e-08	1200.9478	-0.008128053	-247.58269	0.62357384	0.002911146	0.019	79.0	4.858375787734985
8	120.0	57.312386	200.0	23.0	120.0	24.661945	2.2323496	28.296515	13.488271	36000	5.9604645e-08	1035.8582	-0.007642458	-176.593	0.61179966	0.005208207	0.02475	79.0	5.458976984024048
9	166.71428	46.883995	200.0	51.0	166.71428	29.491198	1.3542387	32.403667	20.22758	40000	-2.7008355e-08	1175.4127	-0.0014854362	-202.32704	0.6089771	0.00064597686	0.00175	79.0	6.008561849594116
