Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	21.606558	11.553079	77.0	9.0	21.606558	0.30441558	0.14539355	0.767708	-0.08071232	4000	7.0780516e-08	246.98738	-0.012571083	-16.539188	0.68598557	0.0046986295	0.094000004	79.0	0.6508610248565674
1	25.483871	13.967407	82.0	9.0	25.483871	1.0896411	0.23393348	2.517305	0.84902865	8000	-2.6077032e-08	312.12778	-0.011614349	-31.015934	0.69098735	0.0025098484	0.0345	79.0	1.1969659328460693
2	29.313433	15.240078	91.0	10.0	29.313433	2.3430219	0.5646576	6.3938575	1.6527505	12000	1.2852252e-07	337.81323	-0.010250606	-51.017048	0.68291426	0.002727283	0.017	79.0	1.7068071365356445
3	35.627274	21.121664	148.0	11.0	35.627274	4.3458056	0.92072886	11.215819	3.325745	16000	-4.8428774e-08	468.42264	-0.0094895605	-86.29053	0.6709088	0.0016132289	0.013	79.0	2.231210947036743
4	43.715908	23.213902	110.0	13.0	43.715908	7.3495793	1.0644733	14.450103	4.5260725	20000	-2.6077032e-08	487.6787	-0.0077665653	-105.67326	0.6587678	0.0016657746	0.009749999	79.0	2.789109945297241
5	52.64	31.07352	165.0	12.0	52.64	11.511592	1.9392011	29.727352	7.150292	24000	-1.3038516e-08	602.4187	-0.010846922	-130.22894	0.6498153	0.002280977	0.017749999	79.0	3.379257917404175
6	61.064518	32.874577	180.0	15.0	61.064518	16.13226	2.2253482	33.226006	13.406495	28000	4.4703484e-08	579.22925	-0.011833517	-121.73565	0.6324274	0.005926178	0.0315	79.0	3.954002857208252
7	83.83721	49.97438	200.0	13.0	83.83721	21.53971	3.1704547	50.38023	14.490101	32000	2.9802322e-08	925.868	-0.010448623	-217.15991	0.63194615	0.0029600242	0.02125	79.0	4.489603042602539
8	92.225	53.449738	200.0	13.0	92.225	28.740679	4.2887	54.31279	15.81347	36000	3.7252903e-09	715.0921	-0.008935211	-144.54718	0.62275815	0.0072076637	0.0285	79.0	5.030649900436401
9	147.76	45.555485	200.0	46.0	147.76	36.69584	7.339735	70.148735	12.481739	40000	-3.7252903e-09	878.1018	-0.006128275	-249.2744	0.6253483	0.0047719376	0.0075000003	79.0	5.579197883605957
