Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	21.301075	10.887286	79.0	9.0	21.301075	-0.21279009	0.046112537	-0.14991288	-0.43739432	4000	-2.188608e-08	243.99358	-0.0249186	-105.537384	0.6894331	0.01510678	0.18575001	74.0	0.8658490180969238
1	30.328245	19.14925	94.0	9.0	30.328245	5.8816013	1.2572335	15.107854	3.8315735	8000	-1.0430813e-07	342.21533	-0.027025335	-173.40239	0.68423223	0.010814294	0.09325	79.0	1.6539349555969238
2	42.186813	25.61203	155.0	9.0	42.186813	17.60473	1.8852273	26.856634	9.822414	12000	-7.450581e-09	300.05713	-0.022359574	-66.51276	0.6634203	0.009127231	0.074	79.0	2.439286947250366
3	68.07273	37.91227	179.0	20.0	68.07273	24.311989	3.4075687	28.58808	1.1368792	16000	1.8626451e-08	467.14294	-0.018354585	-138.33092	0.6423278	0.006833884	0.077250004	79.0	3.192348003387451
4	95.0	54.708096	200.0	22.0	95.0	33.121593	7.3105783	46.279842	2.2105975	20000	3.1664968e-08	534.9138	-0.017150113	-115.13007	0.6202043	0.009788891	0.0655	79.0	4.06716513633728
5	161.21739	39.74151	200.0	77.0	161.21739	39.510983	11.355716	52.436146	-12.334719	24000	9.313226e-09	459.46402	-0.010873413	-196.97646	0.61323714	0.005309499	0.073249996	79.0	4.838788986206055
6	176.28572	30.106386	200.0	107.0	176.28572	52.067158	17.29292	73.100136	-28.032833	28000	2.6077032e-08	292.79706	-0.010266664	-24.999798	0.58802783	0.0062540257	0.0705	79.0	5.592694044113159
7	193.4	15.004665	200.0	145.0	193.4	60.907017	12.244747	72.94713	-12.090503	32000	1.8626451e-09	400.41428	-0.0067009553	-52.280876	0.5650897	0.0050945194	0.041	79.0	6.3879640102386475
8	180.85715	41.95835	200.0	71.0	180.85715	58.5869	10.314482	73.81821	8.42133	36000	-7.450581e-09	425.21918	-0.006416942	-64.01348	0.57034904	0.0034607127	0.01275	79.0	7.2472310066223145
9	183.4	33.021812	200.0	95.0	183.4	59.977097	13.431768	76.07083	4.6748395	40000	1.1175871e-08	315.695	-0.0066221748	-46.630814	0.5587222	0.0034524451	0.038000003	79.0	8.278775930404663
