Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	20.473959	10.691184	59.0	8.0	20.473959	0.09076331	0.060676422	0.217931	-0.041381225	4000	6.7055225e-08	228.12637	-0.01409856	-17.44801	0.6875318	0.005839875	0.09825	79.0	0.554668664932251
1	22.241573	11.336184	72.0	8.0	22.241573	0.9085979	0.17166756	2.1518936	0.6857538	8000	1.322478e-07	235.31656	-0.012129096	-27.269222	0.69247925	0.00508695	0.02625	79.0	1.0358037948608398
2	25.128204	13.830809	97.0	9.0	25.128204	2.2250566	0.46240115	5.3528423	1.5846785	12000	-6.053597e-08	280.91833	-0.014886097	-47.24967	0.68745863	0.007682498	0.032250002	79.0	1.5175678730010986
3	29.687023	15.385173	83.0	9.0	29.687023	4.411924	0.93922645	10.823193	2.6371312	16000	-2.9802322e-08	300.76324	-0.013663554	-63.27687	0.673642	0.008182424	0.03475	79.0	2.018490791320801
4	36.570095	19.711523	136.0	11.0	36.570095	7.247992	1.1729296	13.197308	4.4543014	20000	-8.568168e-08	357.50397	-0.010992694	-83.83726	0.6621563	0.0052347435	0.017	79.0	2.4950637817382812
5	49.210526	32.221405	161.0	12.0	49.210526	11.537022	2.282717	25.26891	5.9887986	24000	-7.264316e-08	616.1193	-0.010623267	-151.75647	0.65024585	0.0021254586	0.010500001	79.0	2.971139669418335
6	59.76923	33.250923	146.0	14.0	59.76923	16.987371	5.17614	46.790634	4.648695	28000	-3.3993274e-08	541.98706	-0.011913338	-117.423035	0.6399431	0.0056436653	0.03925	79.0	3.4394798278808594
7	78.895836	46.393356	200.0	17.0	78.895836	21.621355	3.3552237	44.168976	13.51497	32000	-2.9802322e-08	787.8519	-0.008761305	-185.48785	0.6322697	0.0030015642	0.01475	79.0	3.9139938354492188
8	106.74286	49.688942	200.0	17.0	106.74286	28.519575	2.7603738	57.20574	24.59474	36000	2.2351742e-08	788.3942	-0.006369556	-189.29004	0.6213078	0.002143001	0.0084999995	79.0	4.392006874084473
9	132.85185	45.469326	200.0	64.0	132.85185	35.277096	2.0772495	51.034702	26.04902	40000	-2.4214387e-08	723.2555	-0.0065957	-165.7157	0.6094066	0.004017473	0.01125	79.0	4.8799989223480225
